ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,CHAOSC
C3B05,,,,,,,,,,,,,,,,
C3C01,2,2,2,1,1,2,3,2,1,2,2,1,3,2,1,1.8
C3C02,1,2,2,2,2,3,1,3,1,1,1,2,4,1,1,1.8
C3C04,1,1,2,2,1,2,1,1,1,1,1,2,2,1,2,1.4
C3C05,1,2,3,2,2,1,2,1,1,1,1,2,2,2,1,1.6
C3C06,3,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1.86666666666667
C3C11,1,1,2,2,2,1,1,1,1,1,1,1,3,1,1,1.33333333333333
C3C10,2,1,2,3,2,1,2,1,1,2,2,3,2,1,1,1.73333333333333
C3D01,1,1,1,3,,1,1,1,,1,1,1,2,1,3,1.38461538461538
C3D02,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1.73333333333333
C3D03,1,2,2,1,2,2,3,1,1,2,1,1,2,1,1,1.53333333333333
C3D04,1,4,4,3,2,,3,2,2,2,2,3,2,1,1,2.28571428571429
C3D05,2,3,3,3,3,2,2,2,2,2,1,3,2,3,1,2.26666666666667
C3D06,3,2,3,2,2,2,2,2,1,1,1,2,2,2,1,1.86666666666667
C3D07,2,2,3,2,2,2,2,2,1,2,1,2,2,2,1,1.86666666666667
C3D08,2,3,3,1,2,2,2,1,1,2,2,1,2,2,1,1.8
C3D10,2,2,2,2,1,1,3,2,1,1,1,3,2,3,2,1.86666666666667
C3D09,1,2,4,1,4,1,1,1,2,4,1,1,3,1,1,1.86666666666667
C3D11,1,1,1,3,3,2,1,2,1,1,1,1,3,1,1,1.53333333333333
C3D13,2,1,1,2,2,2,1,1,2,2,1,2,2,1,2,1.6
C3D12,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1.33333333333333
C3E01,2,2,2,2,2,3,2,2,2,2,3,2,3,2,1,2.13333333333333
C3E03,2,1,2,2,2,2,3,1,1,2,2,3,2,3,2,2
C3E05,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1.73333333333333
C3E04,1,2,2,2,3,2,2,1,1,2,2,3,2,3,1,1.93333333333333
C3E06,1,1,2,2,2,2,2,1,1,1,2,2,3,1,1,1.6
C3E08,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1.4
C3E07,2,2,2,2,2,1,2,1,2,1,1,2,2,1,2,1.66666666666667
C3E09,2,3,3,2,2,2,2,2,2,2,2,1,3,2,1,2.06666666666667
C3E10,2,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1.4
C3F01,2,2,2,2,2,2,3,2,2,2,2,3,1,2,1,2
C3F02,2,2,3,2,2,2,3,2,1,2,2,2,,1,3,2.07142857142857
C3F03,1,2,3,3,3,2,3,2,2,1,1,3,2,3,1,2.13333333333333
C3F05,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1.8
C3F04,2,2,3,1,2,2,3,2,1,1,3,2,2,2,1,1.93333333333333
C3F07,1,2,2,2,2,1,2,2,1,2,3,2,2,2,1,1.8
C3F06,1,2,3,2,1,1,3,1,1,2,2,1,2,2,2,1.73333333333333
C3F08,1,2,3,2,2,2,3,2,1,4,2,1,3,2,2,2.13333333333333
C3F09,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,1.66666666666667
C3F10,1,2,3,2,2,2,2,1,1,1,2,2,2,2,1,1.73333333333333
C3F12,1,2,2,3,2,2,3,2,2,2,3,3,3,3,2,2.33333333333333
C3F11,2,2,2,3,3,2,2,2,2,3,3,3,3,3,1,2.4
C3F14,1,3,3,2,3,2,3,1,1,1,1,2,3,2,1,1.93333333333333
C3F17,1,2,2,2,3,2,1,1,1,2,2,2,3,2,1,1.8
C3F16,2,3,3,2,2,2,3,3,1,2,1,3,2,3,1,2.2
C3F18,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1.33333333333333
C3F19,1,1,2,3,1,1,1,1,1,1,2,1,2,2,2,1.46666666666667
C3F20,1,4,4,2,3,2,3,1,2,2,1,3,2,3,1,2.26666666666667
C3F21,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,1.93333333333333
C3B06,2,2,3,2,4,3,3,3,1,3,1,4,2,3,3,2.6
C3C09,1,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1.26666666666667
C3A10,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2.2
C3G03,1,1,3,2,2,2,1,1,1,1,1,2,1,1,1,1.4
C3G02,2,2,3,3,3,3,2,2,2,2,1,2,3,2,1,2.2
C3G01,1,1,2,2,2,2,3,1,1,1,1,1,2,1,3,1.6
C3G04,1,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1.46666666666667
C3G05,2,1,1,2,3,2,2,1,2,2,1,2,2,2,1,1.73333333333333
C3G06,3,1,2,3,2,2,1,1,1,1,1,1,2,1,1,1.53333333333333
C3G07,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.93333333333333
C3G08,1,2,3,2,3,2,3,1,1,2,2,2,2,2,1,1.93333333333333
C3G12,2,1,1,2,3,1,1,1,2,1,1,1,2,1,1,1.4
C3G11,3,2,2,3,2,2,2,1,2,1,1,3,3,3,1,2.06666666666667
C3G13,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1.2
C3G10,1,1,2,2,,2,2,2,2,2,1,3,3,1,2,1.85714285714286
C3H01,2,2,2,3,2,2,2,1,1,2,1,3,3,2,2,2
C3H02,2,3,3,2,3,3,2,3,2,2,1,3,2,3,2,2.4
C3H03,2,1,2,2,3,2,2,1,3,2,2,2,3,2,1,2
C3H04,2,2,3,2,3,2,3,2,1,2,1,3,3,2,1,2.13333333333333
C3H05,2,3,4,2,2,3,1,2,2,2,2,3,3,2,2,2.33333333333333
C3H07,3,2,3,3,3,3,2,2,2,2,1,3,2,2,2,2.33333333333333
C3H06,1,2,3,2,2,2,2,2,1,2,1,3,2,2,1,1.86666666666667
C3H08,2,2,2,2,2,2,1,2,,2,1,3,2,2,3,2
C3H09,2,1,2,2,2,2,2,1,1,2,2,3,3,2,1,1.86666666666667
C3H10,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.06666666666667
C3H12,1,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1.4
C3H11,1,2,2,2,3,2,2,2,1,3,1,2,2,2,1,1.86666666666667
C3H14,2,1,2,2,2,3,2,3,1,1,1,1,3,1,1,1.73333333333333
C3H13,2,2,2,3,2,3,3,1,1,2,1,2,3,2,2,2.06666666666667
C3H15,2,3,2,2,3,2,2,2,1,1,1,2,2,2,1,1.86666666666667
C3H16,1,2,2,2,4,2,2,2,1,2,1,3,2,3,2,2.06666666666667
C3I01,2,2,2,2,2,1,2,1,1,2,1,2,2,1,1,1.6
C3I03,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1.33333333333333
C3I02,2,2,2,2,3,4,3,2,1,2,3,2,3,3,4,2.53333333333333
C3I04,1,1,2,2,3,2,3,2,2,2,1,1,2,1,1,1.73333333333333
C3I05,1,2,2,2,2,2,3,2,1,2,2,2,2,2,1,1.86666666666667
C3I06,1,1,2,2,2,2,3,1,1,1,1,1,2,1,1,1.46666666666667
C3I07,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1.86666666666667
C3I08,2,,2,2,2,4,2,2,1,1,2,2,2,2,2,2
C3I09,3,2,4,2,4,2,3,1,1,1,2,2,2,2,1,2.13333333333333
C3I10,1,2,2,2,1,1,1,1,1,,1,1,2,1,1,1.28571428571429
C3I11,2,1,2,2,1,1,3,1,1,1,1,2,2,2,3,1.66666666666667
C3I12,2,3,2,3,2,1,3,1,2,2,2,3,2,3,2,2.2
C3I13,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,1.66666666666667
C3I14,1,,1,2,1,1,1,1,1,1,1,1,2,1,1,1.14285714285714
C3I16,1,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1.53333333333333
C3I15,2,2,3,2,2,1,3,1,,1,,3,2,2,2,2
C3I18,1,2,2,3,2,2,2,2,2,2,1,2,2,2,2,1.93333333333333
C3I20,1,1,4,2,4,2,1,2,1,4,1,1,4,1,1,2
