IDNA,IDNB,NEFNNRA,NEFNNRB,NEFNRA,NEFNRB,NEFPRA,NEFPRB,NEFPPRA,NEFPPRB,NEFNENRA,NEFNENRB,NEFNCRA,NEFNCRB,NEFPCRA,NEFPCRB,NEFERA,NEFERB,NEFECRA,NEFECRB,NITDRA,NITDRB,NITFRA,NITFRB,NITARA,NITARB,NITMRA,NITMRB,NITCDFRA,NITCDFRB,NITCFARA,NITCFARB,NITERA,NITERB,NITAIRA,NITAIRB,NITCFAIRA,NITCFAIRB,NITEIRA,NITEIRB,NPDRRA,NPDRRB,NPDDRA,NPDDRB,NAMBRA,NAMBRB,NAFRA,NAFRB,NIPPRA,NIPPRB,NIPDRA,NIPDRB,NIDGRA,NIDGRB,NIDPRA,NIDPRB,NIDDRA,NIDDRB
240503_01_BC103_LL.XLSX,240503_01_BC103_SC.XLSX,0,0,0,0.1,0.6,0.4,0.2,0,0.3,0.5,0,0.1,0.7,0.4,0.9,0.3,0.7,0.3,0,0,0.3,0.1,0.7,0.9,0,0,0.3,0.1,1,1,0.7,0.9,0.7,0.9,1,1,0.7,0.9,0,0.1,0,0,0.2,0.1,0,0.1,0.4,0.3,0.7,0.7,0.1,0,0,0,0,0
240503_02_BC110_LL.XLSX,240503_02_BC110_SZ.XLSX,0,0,0.3,0.2,0.1,0,0,0,0.6,0.8,0.3,0.2,0.1,0,-0.2,-0.2,-0.2,-0.2,0.6,0.3,0.3,0.7,0.1,0,0,0,0.9,1,0.4,0.7,-0.5,-0.3,0.1,0,0.4,0.7,-0.5,-0.3,0.1,0,0,0,0.1,0.2,0.5,0.4,0.4,0.3,0.2,0.1,0,0,0,0,0.1,0
240503_03_BC104_SC.XLSX,240503_03_BC104_SZ.XLSX,0.2,0,0.1,0,0.2,0.6,0,0.2,0.6,0.4,0.3,0,0.2,0.6,-0.4,0.8,-0.2,0.6,0.2,0.5,0.2,0.4,0.1,0.1,0.5,0,0.4,0.9,0.3,0.5,-0.2,-0.4,0.6,0.1,0.8,0.5,0.4,-0.4,0,0,0,0,0.1,0.2,0.3,0.3,0.5,0.7,0.1,0.1,0,0.5,0,0,0.1,0.3
240506_01_AA301_LM.XLSX,240506_01_AA301_PVM.XLSX,0,0,0.1,0,0.6,0.9,0,0,0.3,0.1,0.1,0,0.6,0.9,0.5,0.9,0.5,0.9,0,0,0.2,0.1,0.8,0.9,0,0,0.2,0.1,1,1,0.8,0.9,0.8,0.9,1,1,0.8,0.9,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.2,0,0,0,0,0,0,0
240506_02_AA306_LL.XLSX,240506_02_AA306_LM.XLSX,0,0,0.2,0.1,0.4,0.4,0.1,0.1,0.3,0.4,0.2,0.1,0.5,0.5,0.4,0.5,0.3,0.4,0.1,0,0.7,0.2,0.2,0.8,0,0,0.8,0.2,0.9,1,0.1,0.8,0.2,0.8,0.9,1,0.1,0.8,0,0,0,0,0,0,0.9,0.8,0.4,0.3,0.3,0.1,0,0,0,0,0,0
240506_03_AA305_LL.XLSX,240506_03_AA305_PVM.XLSX,0,0,0,0,0.1,0.2,0.1,0.2,0.8,0.6,0,0,0.2,0.4,0.3,0.6,0.2,0.4,0.6,0.6,0.1,0.1,0.3,0.3,0,0,0.7,0.7,0.4,0.4,-0.3,-0.3,0.3,0.3,0.4,0.4,-0.3,-0.3,0,0,1,1,0.1,0.1,0,0.3,0.3,0.2,0.4,0.4,0,0,0,0,0.1,0.1
240507_01_AB404_AB.XLSX,240507_01_AB404_KL.XLSX,0,0,0,1,0.9,0.2,0.1,0.1,0.1,0,0,1,0.9,0.3,1,-1,0.9,-1,0.2,0.8,0.6,0.2,0.3,0,0.1,0,0.8,1,0.8,0.2,0,-0.8,0.3,0,0.8,0.2,0.1,-0.8,0.5,0.5,0,0,0.4,0.1,0.7,0.6,0,0,0.2,0.2,0,0,0,0,0,0
240510_04_BC110_AB.XLSX,240510_04_BC110_SZ.XLSX,0,0,0,0,0.3,0.3,0.2,0,0.5,0.7,0,0,0.5,0.3,0.7,0.3,0.5,0.3,0,0.1,0,0.3,1,0.6,0,0,0,0.4,1,0.9,1,0.5,1,0.6,1,0.9,1,0.5,0,0,0,0,0.2,0.2,0.1,0.3,0.2,0.4,0.3,0.3,0,0,0,0,0,0
240510_05_BC103_AB.XLSX,240510_05_BC103_SC.XLSX,0.1,0,0,0.4,0.5,0.2,0.3,0,0.3,0.4,0.1,0.4,0.6,0.2,0.7,-0.2,0.5,-0.2,0,0.4,0.1,0.2,0.9,0.3,0,0.1,0.1,0.6,1,0.5,0.9,-0.111111111111111,0.9,0.4,1,0.6,0.9,0,0,0.1,0,0.2,0,0.1,0,0.3,0.9,0.5,0,0.4,0,0,0,0,0,0
240513_03_AA406_LL.XLSX,240513_03_AA406_LM.XLSX,0,0,0.1,0.1,0.3,0.3,0.4,0.1,0.5,0.5,0.1,0.1,0.5,0.4,0.6,0.4,0.3,0.3,0,0,1,0.7,0,0.3,0,0,1,0.7,1,1,0,0.3,0,0.3,1,1,0,0.3,0,0,0.1,0.1,0.9,1,0.1,0,0.7,0.8,0.2,0.2,0,0,0,0,0,0
240514_05_AB408_AB.XLSX,240514_05_AB408_KL.XLSX,0,0,0.1,0.1,0.4,0.5,0.1,0,0.5,0.5,0.1,0.1,0.5,0.5,0.4,0.3,0.3,0.3,0,0,0,0.3,1,0.8,0,0.1,0,0.3,1,1,1,0.777777777777778,1,0.8,1,1,1,0.8,0,0,0.2,0.2,0,0.1,0,0.1,0.7,0.6,0.2,0.2,0,0,0,0,0,0
240515_01_BA302_JF.XLSX,240515_01_BA302_LL.XLSX,0.1,0,0.1,0,0.5,0.3,0.1,0.3,0.4,0.7,0.2,0,0.5,0.3,0.2,0.6,0.2,0.3,0,0,0.2,0.1,0.8,0.9,0,0,0.2,0.1,1,1,0.8,0.9,0.8,0.9,1,1,0.8,0.9,0,0,0.3,0.2,0.3,0.3,0,0,0.5,0.5,0,0,0,0,0.1,0.1,0,0
240515_03_BA317_JF.XLSX,240515_03_BA317_SC.XLSX,0.3,0.3,0.3,0,0.1,0.2,0.1,0.1,0.3,0.4,0.6,0.3,0.2,0.3,-0.8,-0.2,-0.5,0,0,0,0.2,0.1,0.8,0.9,0,0,0.2,0.1,1,1,0.8,0.9,0.8,0.9,1,1,0.8,0.9,0,0,0,0,0,0,0,0,1,0.7,0,0,0.2,0,0.2,0.3,0.1,0.2
240515_05_BA308_JF.XLSX,240515_05_BA308_SC.XLSX,0.3,0.2,0.3,0.2,0.5,0.4,0,0,0.2,0.2,0.5,0.4,0.5,0.4,-0.5,-0.2,-0.2,0,0,0,0.5,0.3,0.5,0.7,0,0,0.5,0.3,1,1,0.5,0.7,0.5,0.7,1,1,0.5,0.7,0.1,0,0.6,0.3,0.2,0,0,0,0.8,0.6,0.2,0.3,0.1,0,0.1,0.1,0,0
240517_02_BC104_AB.XLSX,240517_02_BC104_SZ.XLSX,0.1,0,0,0.1,0.3,0.3,0,0.3,0.6,0.5,0.1,0.1,0.3,0.5,0.1,0.5,0.2,0.3,0,0,0.2,0.4,0.8,0.6,0,0,0.2,0.4,1,1,0.8,0.6,0.8,0.6,1,1,0.8,0.6,0,0,0.1,0.2,0.3,0.3,0.2,0.5,0.1,0.1,0.4,0.4,0,0,0,0.1,0,0
240521_04_AB407_KL.XLSX,240521_04_AB407_LM.XLSX,0.1,0,0.2,0.1,0.7,0.5,0.3,0,0.2,0.4,0.3,0.1,0.8,0.5,0.4,0.4,0.2,0.4,0.1,0,0.6,0.4,0.1,0.6,0.2,0,0.7,0.4,0.7,1,0,0.6,0.3,0.6,0.9,1,0.2,0.6,0.5,0.2,0,0.1,0,0,0.2,0,1,1,0.1,0,0,0,0,0,0,0
240522_04_BA303_GA.XLSX,240522_04_BA303_SZ.XLSX,0.1,0,0,0,0.3,0.2,0.1,0.1,0.6,0.8,0.1,0,0.3,0.2,0.2,0.3,0.2,0.2,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0.2,0.7,0.6,0.1,0.1,0,0,0.3,0.4,0.6,0.6,0,0,0,0,0,0
240522_07_BA309_GA.XLSX,240522_07_BA309_SZ.XLSX,0,0,0,0,0.2,0.2,0.1,0.1,0.7,0.8,0,0,0.3,0.2,0.4,0.3,0.3,0.2,0,0.1,0.4,0.4,0.6,0.5,0,0,0.4,0.5,1,0.9,0.6,0.4,0.6,0.5,1,0.9,0.6,0.4,0,0,0.3,0.3,0.6,0.6,0,0.1,0.5,0.4,0,0,0,0,0,0,0,0
240523_01_BB201_GA.XLSX,240523_01_BB201_KL.XLSX,0,0,0,0,0.6,0.7,0.3,0,0.2,0.3,0,0,0.8,0.7,1.1,0.7,0.8,0.7,0.7,0.5,0.3,0.5,0,0,0,0,1,1,0.3,0.5,-0.7,-0.5,0,0,0.3,0.5,-0.7,-0.5,0,0,0.6,0.6,0,0,0.1,0.1,0.8,0.7,0.2,0.3,0,0,0,0,0,0
240523_03_BB217_GA.XLSX,240523_03_BB217_SC.XLSX,0.5,0.3,0.1,0.1,0.2,0.3,0.3,0,0.2,0.3,0.6,0.4,0.5,0.3,-0.7,-0.4,-0.4,-0.1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.1,0.2,0.1,0,0.1,0,0.5,0.7,0,0,0,0,0.1,0.1,0,0
240524_01_BC101_AB.XLSX,240524_01_BC101_SC.XLSX,0,0,0.1,0,0.5,0.4,0.1,0.1,0.5,0.5,0.1,0,0.5,0.5,0.4,0.6,0.3,0.5,0,0,0.3,0.8,0.7,0.2,0,0,0.3,0.8,1,1,0.7,0.2,0.7,0.2,1,1,0.7,0.2,0,0,0,0,0.5,0.4,0.8,0.5,0,0,0.1,0.2,0,0,0,0,0,0
240524_03_BC103_SC.XLSX,240524_03_BC103_SZ.XLSX,0.1,0,0,0,0.2,0.4,0,0,0.7,0.6,0.1,0,0.2,0.4,0,0.4,0.1,0.4,0,0,0.3,0.2,0.7,0.8,0,0,0.3,0.2,1,1,0.7,0.8,0.7,0.8,1,1,0.7,0.8,0,0,0.2,0.2,0,0,0,0,0.7,1,0.4,0.4,0,0,0,0,0,0
240524_05_BC115_AB.XLSX,240524_05_BC115_SC.XLSX,0,0,0.2,0.2,0.1,0.3,0,0,0.7,0.5,0.2,0.2,0.1,0.3,-0.1,0.1,-0.1,0.1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.3,0.8,0.1,0.1,0,0.1,0.6,0.5,0.1,0.1,0,0,0,0.1,0,0
240527_02_AA412_KL.XLSX,240527_02_AA412_LL.XLSX,0,0,0.2,0.2,0.2,0.1,0,0.1,0.7,0.7,0.2,0.2,0.2,0.2,-0.1,-0.1,-0.1,-0.1,0,0,0.4,0.1,0.6,0.9,0,0,0.4,0.1,1,1,0.6,0.9,0.6,0.9,1,1,0.6,0.9,0,0,0.1,0.1,0,0,0.6,0.4,0.1,0.3,0,0.1,0,0,0,0,0,0
240528_03_AB408_KL.XLSX,240528_03_AB408_PVM.XLSX,0.3,0.2,0,0.2,0.3,0.1,0,0.1,0.4,0.4,0.3,0.4,0.3,0.2,-0.3,-0.3,0,-0.2,0,0,0.2,0,0.8,1,0,0,0.2,0,1,1,0.8,1,0.8,1,1,1,0.8,1,0,0,0,0,0.1,0,0.6,0.6,0.9,0.8,0.3,0.1,0,0,0.1,0.1,0,0
240529_03_BA317_GA.XLSX,240529_03_BA317_JF.XLSX,0.1,0.2,0,0.1,0,0.3,0,0,0.9,0.4,0.1,0.3,0,0.3,-0.2,-0.2,-0.1,0,0,0,0.6,0.3,0.4,0.7,0,0,0.6,0.3,1,1,0.4,0.7,0.4,0.7,1,1,0.4,0.7,0,0,0.7,0.5,0,0,0,0.3,0.2,0.4,0,0.6,0.3,0.4,0.3,0.2,0.1,0
240529_06_BA303_GA.XLSX,240529_06_BA303_JF.XLSX,0,0,0,0.1,0.5,0.4,0,0,0.5,0.5,0,0.1,0.5,0.4,0.5,0.3,0.5,0.3,0,0,0,0.2,0.9,0.8,0.1,0,0,0.2,0.9,1,1,0.8,1,0.8,1,1,1,0.8,0,0,0,0,0.5,0.5,0.4,0.1,0.3,0.3,0.9,1,0,0.2,0,0,0,0
240530_03_BC104_AB.XLSX,240530_03_BC104_GA.XLSX,0,0,0.1,0,0.2,0.3,0,0,0.7,0.7,0.1,0,0.2,0.3,0.1,0.3,0.1,0.3,0.1,0.3,0.3,0.1,0.6,0.6,0,0,0.4,0.4,0.9,0.7,0.5,0.3,0.6,0.6,0.9,0.7,0.5,0.3,0,0.1,0.5,0.6,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0,0.1,0.2,0.2,0,0.1
240530_05_BC108_AB.XLSX,240530_05_BC108_GA.XLSX,0,0,0.1,0,0.5,0.7,0.2,0,0.3,0.3,0.1,0,0.6,0.7,0.7,0.7,0.5,0.7,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.3,0.3,0,0,0.1,0,1,0.8,0.1,0,0,0,0,0,0,0
240531_05_BB221_SC.XLSX,240531_05_BB221_SZ.XLSX,0.1,0,0,0.1,0.2,0.3,0,0.1,0.7,0.5,0.1,0.1,0.2,0.4,0,0.4,0.1,0.3,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.3,0,0.6,0.9,0,0.1,0.1,0.1,0,0,0,0
240603_04_AA404_AB.XLSX,240603_04_AA404_LM.XLSX,0,0,0,0,0.2,0.2,0.2,0,0.6,0.8,0,0,0.4,0.2,0.6,0.2,0.4,0.2,0,0,0.3,0.2,0.7,0.8,0,0,0.3,0.2,1,1,0.7,0.8,0.7,0.8,1,1,0.7,0.8,0,0,0,0,0.1,0.1,0.7,0.1,0,0,0,0.1,0,0,0,0,0.2,0.1
240603_06_AA411_AB.XLSX,240603_06_AA411_LM.XLSX,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.1,0,0.1,0.1,0.2,0,0,0,0.6,0.7,0.2,0.3,0,0,0,0,0,0
240604_04_AB403_KL.XLSX,240604_04_AB403_LM.XLSX,0,0,0.2,0.1,0.4,0.1,0,0,0.5,0.8,0.2,0.1,0.4,0.1,0.1,0,0.1,0,0.1,0,0.1,0.1,0.8,0.9,0,0,0.2,0.1,0.9,1,0.7,0.9,0.8,0.9,0.9,1,0.7,0.9,0,0,0,0,0,0,0.6,0,0.4,0.3,0,0,0,0,0,0,0.1,0
240604_05_AB408_KL.XLSX,240604_05_AB408_LM.XLSX,0,0,0,0,0.2,0.1,0,0,0.8,0.9,0,0,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0,0.3,0,0.6,1,0,0,0.4,0,0.9,1,0.5,1,0.6,1,0.9,1,0.5,1,0,0,0.2,0.4,0.3,0.2,0.6,0,0,0.1,0.6,0.4,0,0,0.1,0,0.1,0
240605_03_BA308_JF.XLSX,240605_03_BA308_SC.XLSX,0.1,0.2,0.2,0,0.3,0.1,0.1,0.1,0.3,0.6,0.3,0.2,0.4,0.2,0.1,-0.1,0.1,0,0,0,0.2,0,0.8,1,0,0,0.2,0,1,1,0.8,1,0.8,1,1,1,0.8,1,0,0,0.2,0.2,0.1,0,0.2,0,0.4,0.6,0.3,0.2,0,0,0,0,0,0
