IDNA,IDNB,NEFNNRA,NEFNNRB,NEFNRA,NEFNRB,NEFPRA,NEFPRB,NEFPPRA,NEFPPRB,NEFNENRA,NEFNENRB,NEFNCRA,NEFNCRB,NEFPCRA,NEFPCRB,NEFERA,NEFERB,NEFECRA,NEFECRB,NITDRA,NITDRB,NITFRA,NITFRB,NITARA,NITARB,NITMRA,NITMRB,NITCDFRA,NITCDFRB,NITCFARA,NITCFARB,NITERA,NITERB,NITAIRA,NITAIRB,NITCFAIRA,NITCFAIRB,NITEIRA,NITEIRB,NPDRRA,NPDRRB,NPDDRA,NPDDRB,NAMBRA,NAMBRB,NAFRA,NAFRB,NIPPRA,NIPPRB,NIPDRA,NIPDRB,NIDGRA,NIDGRB,NIDPRA,NIDPRB,NIDDRA,NIDDRB
240605_07_BA316_JF.XLSX,240605_07_BA316_SC.XLSX,0,0,0,0,0.5,0.3,0,0,0.5,0.7,0,0,0.5,0.3,0.5,0.3,0.5,0.3,0.1,0.3,0.4,0.7,0.5,0,0,0,0.5,1,0.9,0.7,0.4,-0.3,0.5,0,0.9,0.7,0.4,-0.3,0,0,0.1,0.3,0,0,0.3,0.2,0.8,0.6,0.1,0.1,0.1,0,0,0,0.1,0
240607_02_BB206_SC.XLSX,240607_02_BB206_SZ.XLSX,0,0,0.2,0.1,0.1,0.5,0,0,0.7,0.4,0.2,0.1,0.1,0.5,-0.1,0.4,-0.1,0.4,0,0,0,0.2,1,0.7,0,0.1,0,0.2,1,0.9,1,0.777777777777778,1,0.8,1,1,1,0.8,0,0,0.1,0.1,0.1,0.1,0.8,0.9,0.3,0.3,0.3,0.5,0,0,0,0.1,0,0
240607_03_BB212_SC.XLSX,240607_03_BB212_SZ.XLSX,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.1,0.6,0.6,0.4,0.3,0,0,0.6,0.7,1,0.9,0.4,0.2,0.4,0.3,1,0.9,0.4,0.2,0,0,0,0,0.4,0.6,0.3,0.3,0.2,0.4,0,0,0,0,0,0.1,0,0
240607_04_BB213_SC.XLSX,240607_04_BB213_SZ.XLSX,0,0,0.1,0,0.3,0.2,0,0,0.6,0.8,0.1,0,0.3,0.2,0.2,0.2,0.2,0.2,0,0,0,0.1,1,0.9,0,0,0,0.1,1,1,1,0.9,1,0.9,1,1,1,0.9,0,0.2,0.1,0.1,0.1,0,0.5,0.6,0.1,0.3,0,0.1,0,0,0,0,0,0
240607_05_BB219_SC.XLSX,240607_05_BB219_SZ.XLSX,0,0,0,0,0.1,0.3,0,0,0.9,0.7,0,0,0.1,0.3,0.1,0.3,0.1,0.3,0.1,0.1,0.6,0.4,0.3,0.3,0,0.2,0.7,0.5,0.9,0.7,0.2,0.25,0.3,0.5,0.9,0.9,0.2,0.4,0,0,0.3,0.4,0.4,0.5,0.3,0.3,0.3,0.5,0.1,0.1,0,0,0,0,0,0
240610_02_AA302_AB.XLSX,240610_02_AA302_PVM.XLSX,0,0.1,0.3,0.3,0.3,0.2,0.1,0.1,0.5,0.3,0.3,0.4,0.3,0.3,0,-0.1,-0.1,-0.1,0,0,0,0.2,1,0.8,0,0,0,0.2,1,1,1,0.8,1,0.8,1,1,1,0.8,0.1,0,0,0,0.3,0.4,0.2,0,0.6,0.6,0.1,0.2,0,0,0,0,0,0.1
240610_06_AA306_LM.XLSX,240610_06_AA306_PVM.XLSX,0,0,0.1,0.1,0.2,0.4,0,0.1,0.7,0.4,0.1,0.1,0.2,0.5,0.1,0.5,0.1,0.4,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.1,0.1,0,0,0.1,0.2,0.2,0.2,0.1,0.1,0,0,0,0,0,0
240610_08_AA403_AB.XLSX,240610_08_AA403_LM.XLSX,0,0,0.1,0,0.8,0.8,0.3,0,0.1,0.2,0.1,0,0.9,0.8,1,0.8,0.7,0.8,0,0,0,0.1,1,0.9,0,0,0,0.1,1,1,1,0.9,1,0.9,1,1,1,0.9,0,0,0,0.1,0.2,0.2,0,0,0.8,0.8,0.1,0.1,0,0,0,0,0,0
240611_03_AB308_LM.XLSX,240611_03_AB308_PVM.XLSX,0,0,0.1,0.1,0.6,0.4,0.1,0.2,0.4,0.3,0.1,0.1,0.6,0.6,0.5,0.7,0.4,0.5,0.3,0.3,0.1,0.2,0.6,0.5,0,0,0.4,0.5,0.7,0.7,0.3,0.2,0.6,0.5,0.7,0.7,0.3,0.2,0,0,0.2,0.3,0,0,0.1,0.2,1,1,0,0,0,0,0,0,0,0
240612_02_BA304_GA.XLSX,240612_02_BA304_LL.XLSX,0,0,0,0,0.1,0.4,0.2,0.2,0.8,0.4,0,0,0.2,0.6,0.4,0.8,0.2,0.6,0,0,0,0.2,1,0.8,0,0,0,0.2,1,1,1,0.8,1,0.8,1,1,1,0.8,0,0,0.2,0.1,0.1,0,1,0.6,0.2,0.4,0.4,0.3,0,0,0,0,0,0
240612_04_BA307_LL.XLSX,240612_04_BA307_SZ.XLSX,0,0,0,0,0.1,0.1,0,0,0.9,0.9,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.5,0.3,0.2,0.3,0.3,0,0,0.7,0.7,0.6,0.5,-0.1,-0.2,0.3,0.3,0.6,0.5,-0.1,-0.2,0.5,0.4,0.3,0.3,0.2,0.1,0.2,0.1,0.4,0.4,0,0,0,0,0,0,0,0
240613_01_AA303_GA.XLSX,240613_01_AA303_JF.XLSX,0,0,0,0,0.6,0.7,0,0,0.4,0.3,0,0,0.6,0.7,0.6,0.7,0.6,0.7,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.4,0.2,0.5,0.4,0,0.2,0.3,0.4,0,0,0,0,0,0
240613_04_AA304_GA.XLSX,240613_04_AA304_JF.XLSX,0,0,0.3,0.2,0.4,0.4,0,0,0.4,0.5,0.3,0.2,0.4,0.4,0,0.1,0,0.1,0.3,0,0.2,0.2,0.5,0.8,0,0,0.5,0.2,0.7,1,0.2,0.8,0.5,0.8,0.7,1,0.2,0.8,0.2,0,0.7,0.6,0.2,0.1,0.3,0.3,0.3,0.4,0.1,0.2,0.2,0.4,0.4,0.3,0.1,0.3
240618_02_AA408_KL.XLSX,240618_02_AA408_SC.XLSX,0.1,0.1,0,0,0.4,0.5,0.2,0,0.5,0.5,0.1,0.1,0.5,0.5,0.3,0.2,0.3,0.3,0.2,0,0.5,0.1,0.3,0.9,0,0,0.7,0.1,0.8,1,0.1,0.9,0.3,0.9,0.8,1,0.1,0.9,0,0,0,0,0.1,0.2,0.2,0,0.7,0.5,0,0,0,0,0.1,0,0,0
240618_03_AA402_AB.XLSX,240618_03_AA402_SC.XLSX,0,0.1,0.1,0,0,0,0,0,0.9,0.9,0.1,0.1,0,0,-0.1,-0.2,-0.1,-0.1,0.3,0.7,0.3,0.2,0.4,0.1,0,0,0.6,0.9,0.7,0.3,0.1,-0.6,0.4,0.1,0.7,0.3,0.1,-0.6,0,0,0.8,0.7,0.1,0.3,0,0.1,0.2,0.3,0.2,0.2,0,0,0,0,0,0
240618_04_AA411_AB.XLSX,240618_04_AA411_KL.XLSX,0,0,0.1,0.3,0,0,0,0,0.9,0.7,0.1,0.3,0,0,-0.1,-0.3,-0.1,-0.3,0.1,0.1,0.1,0.3,0.8,0.6,0,0,0.2,0.4,0.9,0.9,0.7,0.5,0.8,0.6,0.9,0.9,0.7,0.5,0,0,0.1,0.1,0.4,0.5,0.2,0.6,0.1,0,0,0,0,0,0,0,0,0
240618_08_AA404_KL.XLSX,240618_08_AA404_SC.XLSX,0,0,0,0,0.2,0.1,0.1,0,0.8,0.9,0,0,0.2,0.1,0.3,0.1,0.2,0.1,1,1,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,0,0,-1,-1,0.1,0,0,0,0,0.1,1,0.9,0.9,0.7,0,0,0,0,0.1,0.1,0,0
240618_09_AA408_AB.XLSX,240618_09_AA408_KL.XLSX,0,0,0,0,0.2,0.1,0,0,0.8,0.9,0,0,0.2,0.1,0.2,0.1,0.2,0.1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.3,0.8,0,0,0,0,0,0,0,0,0,0
240619_04_AB408_JF.XLSX,240619_04_AB408_SZ.XLSX,0.1,0,0.1,0,0,0.1,0,0,0.8,0.9,0.2,0,0,0.1,-0.3,0.1,-0.2,0.1,0,0.1,0.2,0.6,0.8,0.3,0,0,0.2,0.7,1,0.9,0.8,0.2,0.8,0.3,1,0.9,0.8,0.2,0,0,0.2,0.3,0,0.1,0.8,0.5,0.4,0.4,0.5,0.6,0,0,0.3,0.2,0,0
240619_05_AB410_GA.XLSX,240619_05_AB410_SZ.XLSX,0,0,0,0,0.3,0.3,0,0.3,0.7,0.5,0,0,0.3,0.5,0.3,0.8,0.3,0.5,0,0.5,0,0.3,1,0.2,0,0,0,0.8,1,0.5,1,-0.3,1,0.2,1,0.5,1,-0.3,0.1,0.1,0.5,0.5,0.4,0.5,0.5,0.6,0.3,0.4,0.3,0.3,0.1,0,0,0.1,0.1,0.1
240624_01_BA301_LM.XLSX,240624_01_BA301_PVM.XLSX,0,0,0,0,0.2,0.2,0,0.1,0.8,0.7,0,0,0.2,0.3,0.2,0.4,0.2,0.3,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.2,0.1,0.3,0.3,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0
240624_02_BA310_AB.XLSX,240624_02_BA310_LM.XLSX,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.1,0.3,0.1,0.6,0.8,0.1,0,0.3,0.2,0.9,0.9,0.666666666666667,0.7,0.7,0.8,1,0.9,0.7,0.7,0,0,0.2,0.2,0.3,0,0.1,0,0.4,0.3,0.1,0.1,0,0,0,0,0,0
240624_05_BA305_AB.XLSX,240624_05_BA305_PVM.XLSX,0,0.1,0.1,0.1,0.4,0.3,0,0.3,0.5,0.4,0.1,0.1,0.4,0.5,0.3,0.6,0.3,0.4,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0.2,0.3,0.3,0,0,0,0,0.7,0.7,0.4,0.4,0,0,0.1,0.3,0.4,0.3
240624_07_BA306_LM.XLSX,240624_07_BA306_PVM.XLSX,0,0,0,0,0.1,0.3,0,0,0.9,0.7,0,0,0.1,0.3,0.1,0.3,0.1,0.3,0,0,0.3,0.1,0.7,0.9,0,0,0.3,0.1,1,1,0.7,0.9,0.7,0.9,1,1,0.7,0.9,0,0,0.1,0.1,0.1,0.1,0,0,0.7,0.5,0.3,0.3,0,0,0,0,0,0
240626_02_BB207_JF.XLSX,240626_02_BB207_KL.XLSX,0.1,0.2,0.3,0.3,0.6,0.4,0.1,0.3,0.3,0.2,0.4,0.5,0.6,0.5,-0.1,-0.2,-0.1,-0.2,0,0,0.3,0.2,0.7,0.8,0,0,0.3,0.2,1,1,0.7,0.8,0.7,0.8,1,1,0.7,0.8,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.9,0.2,0.2,0.6,0.6,0.1,0,0,0,0.2,0.3
240626_05_BB215_KL.XLSX,240626_05_BB215_SZ.XLSX,0,0,0.2,0,0.2,0.5,0,0.1,0.6,0.5,0.2,0,0.2,0.5,0,0.6,0,0.5,0.1,0.3,0.3,0.3,0.6,0.4,0,0,0.4,0.6,0.9,0.7,0.5,0.1,0.6,0.4,0.9,0.7,0.5,0.1,0,0,0.1,0.1,0.2,0.3,0.8,0.5,0.4,0.4,0.2,0.2,0,0,0,0,0.1,0.1
240627_01_BB221_GA.XLSX,240627_01_BB221_JF.XLSX,0,0,0.1,0.1,0.1,0.1,0,0,0.8,0.8,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,1,0.9,0,0,0,0.1,1,1,1,0.9,1,0.9,1,1,1,0.9,0.2,0.1,0.2,0.1,0.6,0.6,0.3,0.3,0.4,0.5,0.1,0.2,0,0,0.1,0,0,0
240627_03_BB205_GA.XLSX,240627_03_BB205_KL.XLSX,0,0,0,0,0.3,0.3,0,0.1,0.7,0.6,0,0,0.3,0.4,0.3,0.5,0.3,0.4,0,0.3,0,0.6,1,0.1,0,0,0,0.9,1,0.7,1,-0.2,1,0.1,1,0.7,1,-0.2,0,0,0.1,0.1,0,0,0.9,0.9,0.3,0.4,0,0,0,0,0,0,0,0
240627_06_BB206_JF.XLSX,240627_06_BB206_KL.XLSX,0,0,0,0,0.1,0,0,0,0.9,1,0,0,0.1,0,0.1,0,0.1,0,0,0.2,0,0.2,1,0.6,0,0,0,0.4,1,0.8,1,0.4,1,0.6,1,0.8,1,0.4,0.1,0.1,0.5,0.8,0,0,0.3,0.3,0.6,0.6,0.2,0.2,0.2,0.1,0.3,0.1,0,0
240627_08_BB217_GA.XLSX,240627_08_BB217_JF.XLSX,0.1,0,0,0.1,0.6,0.7,0,0.3,0.3,0.2,0.1,0.1,0.6,0.8,0.4,0.9,0.5,0.6,0,0,0,0.1,1,0.9,0,0,0,0.1,1,1,1,0.9,1,0.9,1,1,1,0.9,0,0,1,0.8,0,0,0.2,0.3,0.8,0.7,0.2,0.3,0.2,0,0.2,0.1,0,0
240628_03_AB405_JF.XLSX,240628_03_AB405_SZ.XLSX,0,0,0.2,0,0.3,0.3,0.2,0.3,0.4,0.4,0.2,0,0.5,0.6,0.4,0.9,0.2,0.6,0,0.1,0.4,0.3,0.6,0.6,0,0,0.4,0.4,1,0.9,0.6,0.5,0.6,0.6,1,0.9,0.6,0.5,0,0,0.1,0.1,0.1,0,0.6,0.7,0.8,0.9,0.7,0.4,0.1,0,0,0,0.1,0
240628_05_AB405_JF.XLSX,240628_05_AB405_SC.XLSX,0,0,0,0,0.1,0,0,0,0.9,1,0,0,0.1,0,0.1,0,0.1,0,0,0.1,0.1,0.3,0.9,0.6,0,0,0.1,0.4,1,0.9,0.9,0.5,0.9,0.6,1,0.9,0.9,0.5,0,0.1,0.3,0.3,0.4,0.3,0.5,0.5,0.4,0.3,0.3,0.2,0,0,0,0,0,0
240701_02_AA401_AB.XLSX,240701_02_AA401_JF.XLSX,0,0,0,0.1,0.1,0.2,0,0,0.9,0.7,0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0,0,0.2,0.4,0.8,0.6,0,0,0.2,0.4,1,1,0.8,0.6,0.8,0.6,1,1,0.8,0.6,0.7,0,0.1,0,0,0.2,0.6,0.3,0,0.2,0,0.1,0,0,0.1,0.2,0,0.1
240701_03_AA411_JF.XLSX,240701_03_AA411_LL.XLSX,0,0,0.2,0,0,0.1,0,0,0.8,0.9,0.2,0,0,0.1,-0.2,0.1,-0.2,0.1,0,0,0.2,0.3,0.8,0.7,0,0,0.2,0.3,1,1,0.8,0.7,0.8,0.7,1,1,0.8,0.7,0,0,0.4,0.1,0,0,0.2,0.4,0.4,0.4,0.2,0.1,0,0,0.1,0.1,0,0
240701_04_AA309_AB.XLSX,240701_04_AA309_LL.XLSX,0,0,0,0.1,0.8,0.2,0,0.3,0.2,0.5,0,0.1,0.8,0.4,0.8,0.6,0.8,0.3,0,0.2,0.4,0.8,0.6,0,0,0,0.4,1,1,0.8,0.6,-0.2,0.6,0,1,0.8,0.6,-0.2,0,0.2,0.9,0.9,0.3,0.3,0.2,0.3,0.7,0.6,0.1,0.1,0,0,0.1,0,0,0
240701_05_AA305_AB.XLSX,240701_05_AA305_LL.XLSX,0,0,0,0,0.1,0,0,0.1,0.9,0.9,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0,0,0,0.2,1,0.8,0,0,0,0.2,1,1,1,0.8,1,0.8,1,1,1,0.8,0,0,0.3,0.3,0,0,0.4,0,0,0.1,0,0,0,0,0,0,0,0
240702_05_BA312_LM.XLSX,240702_05_BA312_PVM.XLSX,0,0,0,0,0.2,0.3,0,0,0.8,0.7,0,0,0.2,0.3,0.2,0.3,0.2,0.3,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.5,0.5,0,0,0,0,0.7,0.8,0,0,0,0,0,0,0,0
240704_02_BB203_GA.XLSX,240704_02_BB203_KL.XLSX,0,0,0,0.1,0.6,0.7,0.3,0.4,0.3,0.2,0,0.1,0.7,0.7,1,1,0.7,0.6,0.7,0.4,0.3,0.4,0,0.2,0,0,1,0.8,0.3,0.6,-0.7,-0.2,0,0.2,0.3,0.6,-0.7,-0.2,0.7,0.3,0.3,0.2,0,0,0.2,0.7,0.7,1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1
240704_04_BB211_AB.XLSX,240704_04_BB211_KL.XLSX,0,0.1,0,0,0.4,0.4,0,0.1,0.6,0.5,0,0.1,0.4,0.5,0.4,0.3,0.4,0.3,0,0,0,0.2,1,0.8,0,0,0,0.2,1,1,1,0.8,1,0.8,1,1,1,0.8,0,0,0,0,0.2,0,0.2,0.4,0.6,0.7,0.1,0.1,0,0,0,0,0,0
