ID,Tipo de actividad,Ciclo,NXLSX,DXLSX
AB106,Lectoescritura,05_09_01,05_09_01_AB106_GP.xlsx,05_09_01_AB1D_JIN.xlsx
AB106,Juego con números,05_09_02,05_09_02_AB106_GP.xlsx,05_09_02_AB1D_JIN.xlsx
BA205,Juego libre,05_12_01,05_12_01_BA205_ZVT.xlsx,05_12_01_BA2D_JIN.xlsx
BA202,Juego libre,05_12_02,05_12_02_BA202_JIN.xlsx,05_12_02_BA2D_ZVT.xlsx
AB205,Juego con números,05_16_01,05_16_01_AB205_JIN.xlsx,05_16_01_AB2D_GP.xlsx
AB202,Juego con números,05_16_02,05_16_02_AB202_GP.xlsx,05_16_02_AB2D_JIN.xlsx
AB201,Juego con números,05_16_03,05_16_03_AB201_JIN.xlsx,05_16_03_AB2D_GP.xlsx
AB203,Juego con números,05_16_04,05_16_04_AB203_JIN.xlsx,05_16_04_AB2D_GP.xlsx
AB204,Exposición docente,05_16_05,05_16_05_AB204_GP.xlsx,05_16_05_AB2D_JIN.xlsx
AA202,Exposición docente,05_17_01,05_17_01_AA202_MAC.xlsx,05_17_01_AA2D_JIN.xlsx
AA203,Juego con números,05_17_02,05_17_02_AA203_JIN.xlsx,05_17_02_AA2D_MAC.xlsx
AA204,Juego con números,05_17_03,05_17_03_AA204_MAC.xlsx,05_17_03_AA2D_JIN.xlsx
AA204,Juego con números,05_17_04,05_17_04_AA204_MAC.xlsx,05_17_04_AA2D_JIN.xlsx
BA101,Lectoescritura,05_19_01,05_19_01_BA101_JIN.xlsx,05_19_01_BA1D_MD.xlsx
BA104,Lectoescritura,05_19_02,05_19_02_BA104_JIN.xlsx,05_19_02_BA1D_ZVT.xlsx
BA103,Juego libre,05_19_03,05_19_03_BA103_ZVT.xlsx,05_19_03_BA1D_JIN.xlsx
BA102,Juego libre,05_19_04,05_19_04_BA102_JIN.xlsx,05_19_04_BA1D_ZVT.xlsx
BB02,Exposición docente,05_22_01,05_22_01_BB02_JIN.xlsx,05_22_01_BBD_ZVT.xlsx
BB04,Dibujo/pintura,05_22_02,05_22_02_BB04_ZVT.xlsx,05_22_02_BBD_JIN.xlsx
BB01,Dibujo/pintura,05_22_03,05_22_03_BB01_JIN.xlsx,05_22_03_BBD_ZVT.xlsx
BB03,Juego libre,05_22_04,05_22_04_BB03_ZVT.xlsx,05_22_04_BBD_JIN.xlsx
BB05,Dibujo/pintura,05_22_05,05_22_05_BB05_JIN.xlsx,05_22_05_BBD_ZVT.xlsx
BB06,Dibujo/pintura,05_22_06,05_22_06_BB06_ZVT.xlsx,05_22_06_BBD_JIN.xlsx
AB105,Juego con números,05_23_01,05_23_01_AB105_GP.xlsx,05_23_01_AB1D_JIN.xlsx
AB101,Juego con números,05_23_02,05_23_02_AB101_JIN.xlsx,05_23_02_AB1D_GP.xlsx
AB102,Juego con números,05_23_03,05_23_03_AB102_GP.xlsx,05_23_03_AB1D_JIN.xlsx
AB103,Juego libre,05_23_04,05_23_04_AB103_JIN.xlsx,05_23_04_AB1D_GP.xlsx
AB108,Exposición docente,05_23_05,05_23_05_AB108_GP.xlsx,05_23_05_AB1D_JIN.xlsx
AB108,Exposición docente,05_23_06,05_23_06_AB108_GP.xlsx,05_23_06_AB1D_JIN.xlsx
AA101,Juego libre,05_24_01,05_24_01_AA101_MAC.xlsx,05_24_01_AA1D_JIN.xlsx
AA104,Juego libre,05_24_02,05_24_02_AA104_JIN.xlsx,05_24_02_AA1D_MAC.xlsx
AA105,Juego libre,05_24_03,05_24_03_AA105_MAC.xlsx,05_24_03_AA1D_JIN.xlsx
AA108,Juego libre,05_24_04,05_24_04_AA108_JIN.xlsx,05_24_04_AA1D_MAC.xlsx
AA204,Juego libre,05_24_05,05_24_05_AA204_MAC.xlsx,05_24_05_AA2D_JIN.xlsx
AA203,Juego libre,05_24_06,05_24_06_AA203_JIN.xlsx,05_24_06_AA2D_MAC.xlsx
AA108,Juego libre,05_24_07,05_24_07_AA108_JIN.xlsx,05_24_07_AA1D_MAC.xlsx
AA104,Juego libre,05_24_08,05_24_08_AA104_MAC.xlsx,05_24_08_AA1D_JIN.xlsx
AA105,Juego libre,05_24_09,05_24_09_AA105_JIN.xlsx,05_24_09_AA1D_MAC.xlsx
AA108,Exposición docente,05_24_10,05_24_10_AA108_MAC.xlsx,05_24_10_AA1D_JIN.xlsx
AA101,Exposición docente,05_24_11,05_24_11_AA101_JIN.xlsx,05_24_11_AA1D_MAC.xlsx
BB09,Exposición docente,05_29_01,05_29_01_BB09_ADN.xlsx,05_29_01_BBD_JIN.xlsx
BB10,Exposición docente,05_29_01,05_29_01_BB10_MD.xlsx,05_29_01_BBD_JIN.xlsx
BB09,Exposición docente,05_29_02,05_29_02_BB09_ADN.xlsx,05_29_02_BBD_JIN.xlsx
BB11,Dibujo/pintura,05_29_03,05_29_03_BB11_MD.xlsx,05_29_03_BBD_JIN.xlsx
BB12,Dibujo/pintura,05_29_03,05_29_03_BB12_ADN.xlsx,05_29_03_BBD_JIN.xlsx
BB14,Dibujo/pintura,05_29_04,05_29_04_BB14_JIN.xlsx,05_29_04_BBD_ADN.xlsx
AB206,Exposición docente,05_30_01,05_30_01_AB206_JIN.xlsx,05_30_01_AB2D_GP.xlsx
AB201,Exposición docente,05_30_02,05_30_02_AB201_GP.xlsx,05_30_02_AB2D_JIN.xlsx
AB202,Exposición docente,05_30_03,05_30_03_AB202_JIN.xlsx,05_30_03_AB2D_GP.xlsx
AB203,Exposición docente,05_30_04,05_30_04_AB203_GP.xlsx,05_30_04_AB2D_JIN.xlsx
AB205,Dibujo/pintura,05_30_05,05_30_05_AB205_JIN.xlsx,05_30_05_AB2D_GP.xlsx
AA103,Exposición docente,06_01_01,06_01_01_AA103_JIN.xlsx,06_01_01_AA1D_GP.xlsx
AA107,Dibujo/pintura,06_01_02,06_01_02_AA107_GP.xlsx,06_01_02_AA1D_JIN.xlsx
AA102,Dibujo/pintura,06_01_03,06_01_03_AA102_JDA.xlsx,06_01_03_AA1D_JIN.xlsx
AA102,Juego libre,06_01_04,06_01_04_AA102_JDA.xlsx,06_01_04_AA1D_JIN.xlsx
AA106,Dibujo/pintura,06_01_04,06_01_04_AA106_GP.xlsx,06_01_04_AA1D_JIN.xlsx
AA102,Juego libre,06_01_05,06_01_05_AA102_JIN.xlsx,06_01_05_AA1D_GP.xlsx
AA103,Lectoescritura,06_01_06,06_01_06_AA103_GP.xlsx,06_01_06_AA1D_JIN.xlsx
AA106,Lectoescritura,06_01_07,06_01_07_AA106_JIN.xlsx,06_01_07_AA1D_GP.xlsx
AA107,Lectoescritura,06_01_07,06_01_07_AA107_JDA.xlsx,06_01_07_AA1D_GP.xlsx
BA201,Exposición docente,06_02_01,06_02_01_BA201_ZVT.xlsx,06_02_01_BA2D_JIN.xlsx
BA204,Juego libre,06_02_01,06_02_01_BA204_MD.xlsx,06_02_01_BA2D_JIN.xlsx
BA203,Exposición docente,06_02_02,06_02_02_BA203_JIN.xlsx,06_02_02_BA2D_ZVT.xlsx
BA205,Exposición docente,06_02_03,06_02_03_BA205_MD.xlsx,06_02_03_BA2D_JIN.xlsx
BA103,Juego con números,06_02_04,06_02_04_BA103_JIN.xlsx,06_02_04_BA1D_MD.xlsx
BA105,Juego con números,06_02_04,06_02_04_BA105_ZVT.xlsx,06_02_04_BA1D_MD.xlsx
BA101,Juego con números,06_02_05,06_02_05_BA101_JIN.xlsx,06_02_05_BA1D_ZVT.xlsx
BA104,Juego con números,06_02_05,06_02_05_BA104_MD.xlsx,06_02_05_BA1D_ZVT.xlsx
BA102,Juego con números,06_02_06,06_02_06_BA102_ZVT.xlsx,06_02_06_BA1D_JIN.xlsx
BB15,Exposición docente,06_05_01,06_05_01_BB15_JIN.xlsx,06_05_01_BBD_MD.xlsx
BB08,Dibujo/pintura,06_05_02,06_05_02_BB08_JIN.xlsx,06_05_02_BBD_ADN.xlsx
BB16,Dibujo/pintura,06_05_03,06_05_03_BB16_JIN.xlsx,06_05_03_BBD_MD.xlsx
BB03,Juego libre,06_05_04,06_05_04_BB03_MD.xlsx,06_05_04_BBD_JIN.xlsx
BB13,Juego libre,06_05_04,06_05_04_BB13_ADN.xlsx,06_05_04_BBD_JIN.xlsx
AB110,Exposición docente,06_06_01,06_06_01_AB110_JIN.xlsx,06_06_01_AB1D_GP.xlsx
AB107,Lectoescritura,06_06_02,06_06_02_AB107_GP.xlsx,06_06_02_AB1D_JIN.xlsx
AB101,Lectoescritura,06_06_03,06_06_03_AB101_JIN.xlsx,06_06_03_AB1D_GP.xlsx
AB108,Lectoescritura,06_06_04,06_06_04_AB108_GP.xlsx,06_06_04_AB1D_JIN.xlsx
AB102,Exposición docente,06_06_05,06_06_05_AB102_JIN.xlsx,06_06_05_AB1D_GP.xlsx
AB103,Juego con números,06_06_06,06_06_06_AB103_GP.xlsx,06_06_06_AB1D_JIN.xlsx
AB105,Juego con números,06_06_07,06_06_07_AB105_JIN.xlsx,06_06_07_AB1D_GP.xlsx
AA107,Exposición docente,06_07_01,06_07_01_AA107_JIN.xlsx,06_07_01_AA1D_JDA.xlsx
AA108,Exposición docente,06_07_01,06_07_01_AA108_MAC.xlsx,06_07_01_AA1D_JDA.xlsx
AA106,Dibujo/pintura,06_07_02,06_07_02_AA106_MAC.xlsx,06_07_02_AA1D_JIN.xlsx
AA104,Dibujo/pintura,06_07_03,06_07_03_AA104_JIN.xlsx,06_07_03_AA1D_JDA.xlsx
AA101,Dibujo/pintura,06_07_04,06_07_04_AA101_JDA.xlsx,06_07_04_AA1D_JIN.xlsx
AA103,Dibujo/pintura,06_07_04,06_07_04_AA103_MAC.xlsx,06_07_04_AA1D_JIN.xlsx
AA202,Exposición docente,06_07_05,06_07_05_AA202_JIN.xlsx,06_07_05_AA2D_MAC.xlsx
AA204,Juego libre,06_07_06,06_07_06_AA204_JIN.xlsx,06_07_06_AA2D_MAC.xlsx
AA202,Juego libre,06_07_07,06_07_07_AA202_MAC.xlsx,06_07_07_AA2D_JIN.xlsx
AA204,Juego libre,06_07_07,06_07_07_AA204_JDA.xlsx,06_07_07_AA2D_JIN.xlsx
BB13,Exposición docente,06_08_01,06_08_01_BB13_JDA.xlsx,06_08_01_BBD2_JIN.xlsx
BB15,Dibujo/pintura,06_08_02,06_08_02_BB15_JIN.xlsx,06_08_02_BBD2_JDA.xlsx
BB09,Dibujo/pintura,06_08_03,06_08_03_BB09_JDA.xlsx,06_08_03_BBD2_JIN.xlsx
BB13,Exposición docente,06_08_04,06_08_04_BB13_JIN.xlsx,06_08_04_BBD2_JDA.xlsx
BB02,Dibujo/pintura,06_08_05,06_08_05_BB02_JDA.xlsx,06_08_05_BBD2_JIN.xlsx
BB04,Juego libre,06_08_06,06_08_06_BB04_JIN.xlsx,06_08_06_BBD2_JDA.xlsx
BA201,Exposición docente,06_09_01,06_09_01_BA201_ZVT.xlsx,06_09_01_BA2D_MD.xlsx
BA202,Exposición docente,06_09_01,06_09_01_BA202_JIN.xlsx,06_09_01_BA2D_MD.xlsx
BA204,Juego con números,06_09_02,06_09_02_BA204_ZVT.xlsx,06_09_02_BA2D_JIN.xlsx
BA203,Juego con números,06_09_03,06_09_03_BA203_MD.xlsx,06_09_03_BA2D_JIN.xlsx
BA205,Exposición docente,06_09_04,06_09_04_BA205_JIN.xlsx,06_09_04_BA2D_ZVT.xlsx
AA105,Exposición docente,06_14_01,06_14_01_AA105_MAC.xlsx,06_14_01_AA1D_JIN.xlsx
AA103,Juego libre,06_14_02,06_14_02_AA103_JIN.xlsx,06_14_02_AA1D_MAC.xlsx
AA101,Juego libre,06_14_03,06_14_03_AA101_MAC.xlsx,06_14_03_AA1D_JIN.xlsx
AA106,Juego libre,06_14_04,06_14_04_AA106_JIN.xlsx,06_14_04_AA1D_MAC.xlsx
BB07,Exposición docente,06_15_01,06_15_01_BB07_JIN.xlsx,06_15_01_BBD2_JDA.xlsx
BB01,Juego libre,06_15_02,06_15_02_BB01_JDA.xlsx,06_15_02_BBD_JIN.xlsx
BB05,Exposición docente,06_15_03,06_15_03_BB05_JIN.xlsx,06_15_03_BBD_JDA.xlsx
BB06,Exposición docente,06_15_04,06_15_04_BB06_JDA.xlsx,06_15_04_BBD_JIN.xlsx
BB08,Exposición docente,06_15_05,06_15_05_BB08_JIN.xlsx,06_15_05_BBD_JDA.xlsx
BB11,Juego libre,06_15_06,06_15_06_BB11_JDA.xlsx,06_15_06_BBD_JIN.xlsx
BB14,Juego libre,06_15_07,06_15_07_BB14_JIN.xlsx,06_15_07_BBD_JDA.xlsx
BA105,Juego libre,06_16_01,06_16_01_BA105_JIN.xlsx,06_16_01_BA1D_MD.xlsx
BA104,Dibujo/pintura,06_16_02,06_16_02_BA104_MD.xlsx,06_16_02_BA1D_JIN.xlsx
BA103,Dibujo/pintura,06_16_03,06_16_03_BA103_ZVT.xlsx,06_16_03_BA1D_JIN.xlsx
BA105,Dibujo/pintura,06_16_04,06_16_04_BA105_JIN.xlsx,06_16_04_BA1D_ZVT.xlsx
BA104,Exposición docente,06_16_05,06_16_05_BA104_ZVT.xlsx,06_16_05_BA1D_JIN.xlsx
BA103,Exposición docente,06_16_06,06_16_06_BA103_MD.xlsx,06_16_06_BA1D_ZVT.xlsx
BA105,Exposición docente,06_16_06,06_16_06_BA105_JIN.xlsx,06_16_06_BA1D_ZVT.xlsx
BA103,Lectoescritura,06_16_07,06_16_07_BA103_JIN.xlsx,06_16_07_BA1D_ZVT.xlsx
BB12,Exposición docente,06_23_01,06_23_01_BB12_ZVT.xlsx,06_23_01_BBD_JIN.xlsx
BB13,Dibujo/pintura,06_23_02,06_23_02_BB13_JIN.xlsx,06_23_02_BBD_ZVT.xlsx
BB03,Dibujo/pintura,06_23_03,06_23_03_BB03_ZVT.xlsx,06_23_03_BBD_JIN.xlsx
BB10,Dibujo/pintura,06_23_04,06_23_04_BB10_ZVT.xlsx,06_23_04_BBD_JIN.xlsx
BB01,Exposición docente,06_23_05,06_23_05_BB01_JIN.xlsx,06_23_05_BBD_ZVT.xlsx
BB03,Exposición docente,06_23_06,06_23_06_BB03_JIN.xlsx,06_23_06_BBD_ZVT.xlsx
BB11,Exposición docente,06_23_07,06_23_07_BB11_ZVT.xlsx,06_23_07_BBD_JIN.xlsx
BB15,Juego libre,06_23_08,06_23_08_BB15_JIN.xlsx,06_23_08_BBD_ZVT.xlsx
BB14,Exposición docente,06_23_09,06_23_09_BB14_JIN.xlsx,06_23_09_BBD_MD.xlsx
BB06,Juego con números,06_23_10,06_23_10_BB06_MD.xlsx,06_23_10_BBD_JIN.xlsx
BB14,Juego con números,06_23_10,06_23_10_BB14_ZVT.xlsx,06_23_10_BBD_JIN.xlsx
AA101,Exposición docente,06_26_01,06_26_01_AA101_JIN.xlsx,06_26_01_AA1D_ADN.xlsx
AA104,Exposición docente,06_26_02,06_26_02_AA104_JIN.xlsx,06_26_02_AA1D_ADN.xlsx
AA104,Exposición docente,06_26_03,06_26_03_AA104_ADN.xlsx,06_26_03_AA1D_JIN.xlsx
AA106,Exposición docente,06_26_04,06_26_04_AA106_ADN.xlsx,06_26_04_AA1D_JIN.xlsx
AA101,Exposición docente,06_26_05,06_26_05_AA101_JIN.xlsx,06_26_05_AA1D_ADN.xlsx
AB205,Exposición docente,06_27_01,06_27_01_AB205_GP.xlsx,06_27_01_AB2D_JIN.xlsx
AB207,Juego con números,06_27_02,06_27_02_AB207_JIN.xlsx,06_27_02_AB2D_GP.xlsx
AB203,Juego con números,06_27_03,06_27_03_AB203_ZVT.xlsx,06_27_03_AB2D_JIN.xlsx
AB206,Juego con números,06_27_03,06_27_03_AB206_GP.xlsx,06_27_03_AB2D_JIN.xlsx
AB201,Juego con números,06_27_04,06_27_04_AB201_JIN.xlsx,06_27_04_AB2D_ZVT.xlsx
AB207,Juego con números,06_27_04,06_27_04_AB207_GP.xlsx,06_27_04_AB2D_ZVT.xlsx
AB202,Juego con números,06_27_05,06_27_05_AB202_ZVT.xlsx,06_27_05_AB2D_JIN.xlsx
AB205,Juego con números,06_27_06,06_27_06_AB205_GP.xlsx,06_27_06_AB2D_ZVT.xlsx
AB206,Juego con números,06_27_06,06_27_06_AB206_JIN.xlsx,06_27_06_AB2D_ZVT.xlsx
BB02,Exposición docente,06_29_01,06_29_01_BB02_ZVT.xlsx,06_29_01_BBD_GP.xlsx
BB04,Exposición docente,06_29_01,06_29_01_BB04_JIN.xlsx,06_29_01_BBD_GP.xlsx
BB16,Exposición docente,06_29_01,06_29_01_BB16_JDA.xlsx,06_29_01_BBD_GP.xlsx
BB05,Exposición docente,06_29_02,06_29_02_BB05_JDA.xlsx,06_29_02_BBD_JIN.xlsx
BB07,Exposición docente,06_29_02,06_29_02_BB07_GP.xlsx,06_29_02_BBD_JIN.xlsx
BB08,Exposición docente,06_29_03,06_29_03_BB08_JIN.xlsx,06_29_03_BBD_JDA.xlsx
BB09,Exposición docente,06_29_03,06_29_03_BB09_GP.xlsx,06_29_03_BBD_JDA.xlsx
BB07,Lectoescritura,06_29_04,06_29_04_BB07_ZVT.xlsx,06_29_04_BBD_JIN.xlsx
BB10,Lectoescritura,06_29_04,06_29_04_BB10_GP.xlsx,06_29_04_BBD_JIN.xlsx
BB12,Lectoescritura,06_29_05,06_29_05_BB12_GP.xlsx,06_29_05_BBD_ZVT.xlsx
BB16,Lectoescritura,06_29_05,06_29_05_BB16_JIN.xlsx,06_29_05_BBD_ZVT.xlsx
BB01,Lectoescritura,06_29_06,06_29_06_BB01_JDA.xlsx,06_29_06_BBD_GP.xlsx
BB04,Lectoescritura,06_29_06,06_29_06_BB04_ZVT.xlsx,06_29_06_BBD_GP.xlsx
BB05,Lectoescritura,06_29_06,06_29_06_BB05_JIN.xlsx,06_29_06_BBD_GP.xlsx
BA204,Dibujo/pintura,06_30_01,06_30_01_BA204_JIN.xlsx,06_30_01_BA2D_MD.xlsx
BA201,Dibujo/pintura,06_30_02,06_30_02_BA201_ZVT.xlsx,06_30_02_BA2D_JIN.xlsx
BA205,Dibujo/pintura,06_30_03,06_30_03_BA205_JIN.xlsx,06_30_03_BA2D_ZVT.xlsx
BA204,Dibujo/pintura,06_30_04,06_30_04_BA204_MD.xlsx,06_30_04_BA2D_JIN.xlsx
BA201,Dibujo/pintura,06_30_05,06_30_05_BA201_ZVT.xlsx,06_30_05_BA2D_JIN.xlsx
BA101,Exposición docente,06_30_06,06_30_06_BA101_MD.xlsx,06_30_06_BA1D_JIN.xlsx
BA102,Exposición docente,06_30_06,06_30_06_BA102_ZVT.xlsx,06_30_06_BA1D_JIN.xlsx
BA101,Juego libre,06_30_07,06_30_07_BA101_JIN.xlsx,06_30_07_BA1D_ZVT.xlsx
BA102,Juego libre,06_30_07,06_30_07_BA102_MD.xlsx,06_30_07_BA1D_ZVT.xlsx
BA104,Lectoescritura,06_30_08,06_30_08_BA104_MD.xlsx,06_30_08_BA1D_JIN.xlsx
BA105,Lectoescritura,06_30_08,06_30_08_BA105_ZVT.xlsx,06_30_08_BA1D_JIN.xlsx
AA203,Exposición docente,07_03_01,07_03_01_AA203_JIN.xlsx,07_03_01_AA2D_MD.xlsx
AA204,Exposición docente,07_03_02,07_03_02_AA204_MD.xlsx,07_03_02_AA2D_JIN.xlsx
AA202,Exposición docente,07_03_03,07_03_03_AA202_JIN.xlsx,07_03_03_AA2D_MD.xlsx
AA203,Exposición docente,07_03_04,07_03_04_AA203_MD.xlsx,07_03_04_AA2D_JIN.xlsx
AA107,Exposición docente,07_03_05,07_03_05_AA107_JIN.xlsx,07_03_05_AA1D_MD.xlsx
AA105,Exposición docente,07_03_06,07_03_06_AA105_MD.xlsx,07_03_06_AA1D_JIN.xlsx
AA105,Dibujo/pintura,07_03_07,07_03_07_AA105_MD.xlsx,07_03_07_AA1D_JIN.xlsx
AA203,Juego con números,07_03_08,07_03_08_AA203_MD.xlsx,07_03_08_AA2D_JIN.xlsx
AA202,Juego con números,07_03_09,07_03_09_AA202_JIN.xlsx,07_03_09_AA2D_MD.xlsx
AA203,Lectoescritura,07_03_10,07_03_10_AA203_MD.xlsx,07_03_10_AA2D_JIN.xlsx
AA202,Lectoescritura,07_03_11,07_03_11_AA202_MD.xlsx,07_03_11_AA2D_JIN.xlsx
BB07,Exposición docente,07_06_01,07_06_01_BB07_JDA.xlsx,07_06_01_BBD_JIN.xlsx
BB06,Juego libre,07_06_02,07_06_02_BB06_JIN.xlsx,07_06_02_BBD_JDA.xlsx
BB08,Juego libre,07_06_03,07_06_03_BB08_JIN.xlsx,07_06_03_BBD_JIN.xlsx
BB09,Exposición docente,07_06_04,07_06_04_BB09_JIN.xlsx,07_06_04_BBD_JDA.xlsx
BB11,Lectoescritura,07_06_05,07_06_05_BB11_JDA.xlsx,07_06_05_BBD_JIN.xlsx
BB13,Lectoescritura,07_06_06,07_06_06_BB13_JIN.xlsx,07_06_06_BBD_JDA.xlsx
BB02,Lectoescritura,07_06_07,07_06_07_BB02_JDA.xlsx,07_06_07_BBD_JIN.xlsx
BB15,Lectoescritura,07_06_08,07_06_08_BB15_JIN.xlsx,07_06_08_BBD_JDA.xlsx
BB16,Exposición docente,07_06_09,07_06_09_BB16_JDA.xlsx,07_06_09_BBD_JIN.xlsx
BB12,Lectoescritura,07_06_10,07_06_10_BB12_JIN.xlsx,07_06_10_BBD_JDA.xlsx
AA108,Exposición docente,07_10_01,07_10_01_AA108_ZVT.xlsx,07_10_01_AA1D_JIN.xlsx
AA108,Dibujo/pintura,07_10_02,07_10_02_AA108_JIN.xlsx,07_10_02_AA1D_ZVT.xlsx
AA103,Dibujo/pintura,07_10_03,07_10_03_AA103_ZVT.xlsx,07_10_03_AA1D_JIN.xlsx
AA107,Dibujo/pintura,07_10_04,07_10_04_AA107_JIN.xlsx,07_10_04_AA1D_ZVT.xlsx
AA104,Juego libre,07_10_05,07_10_05_AA104_ZVT.xlsx,07_10_05_AA1D_JIN.xlsx
AA204,Exposición docente,07_10_06,07_10_06_AA204_JIN.xlsx,07_10_06_AA2D_ZVT.xlsx
AA203,Exposición docente,07_10_07,07_10_07_AA203_ZVT.xlsx,07_10_07_AA2D_JIN.xlsx
AA203,Dibujo/pintura,07_10_08,07_10_08_AA203_JIN.xlsx,07_10_08_AA2D_ZVT.xlsx
AA204,Dibujo/pintura,07_10_09,07_10_09_AA204_ZVT.xlsx,07_10_09_AA2D_JIN.xlsx
AB107,Exposición docente,07_11_01,07_11_01_AB107_GP.xlsx,07_11_01_AB1D2_JIN.xlsx
AB106,Dibujo/pintura,07_11_02,07_11_02_AB106_JIN.xlsx,07_11_02_AB1D2_GP.xlsx
AB110,Dibujo/pintura,07_11_03,07_11_03_AB110_JIN.xlsx,07_11_03_AB1D2_ZVT.xlsx
AB101,Juego libre,07_11_04,07_11_04_AB101_ZVT.xlsx,07_11_04_AB1D2_JIN.xlsx
AB103,Juego libre,07_11_05,07_11_05_AB103_GP.xlsx,07_11_05_AB1D2_JIN.xlsx
AB105,Juego libre,07_11_06,07_11_06_AB105_JIN.xlsx,07_11_06_AB1D2_GP.xlsx
AB106,Juego libre,07_11_07,07_11_07_AB106_GP.xlsx,07_11_07_AB1D2_JIN.xlsx
AB102,Juego libre,07_11_08,07_11_08_AB102_GP.xlsx,07_11_08_AB1D2_JIN.xlsx
AB107,Juego libre,07_11_09,07_11_09_AB107_ZVT.xlsx,07_11_09_AB1D2_JIN.xlsx
AB108,Juego libre,07_11_09,07_11_09_AB108_GP.xlsx,07_11_09_AB1D2_JIN.xlsx
BB01,Exposición docente,07_13_01,07_13_01_BB01_ZVT.xlsx,07_13_01_BBD_JIN.xlsx
BB04,Dibujo/pintura,07_13_02,07_13_02_BB04_JIN.xlsx,07_13_02_BBD_ZVT.xlsx
BB06,Dibujo/pintura,07_13_03,07_13_03_BB06_ZVT.xlsx,07_13_03_BBD_JIN.xlsx
BB09,Dibujo/pintura,07_13_04,07_13_04_BB09_JIN.xlsx,07_13_04_BBD_ZVT.xlsx
BB12,Dibujo/pintura,07_13_05,07_13_05_BB12_ZVT.xlsx,07_13_05_BBD_JIN.xlsx
BB11,Juego libre,07_13_06,07_13_06_BB11_JIN.xlsx,07_13_06_BBD_ZVT.xlsx
BB13,Dibujo/pintura,07_13_07,07_13_07_BB13_ZVT.xlsx,07_13_07_BBD_JIN.xlsx
AB202,Juego libre,08_01_01,08_01_01_AB202_ADN.xlsx,08_01_01_AB2D_JIN.xlsx
AB207,Juego libre,08_01_01,08_01_01_AB207_MAC.xlsx,08_01_01_AB2D_JIN.xlsx
AB207,Exposición docente,08_01_02,08_01_02_AB207_JIN.xlsx,08_01_02_AB2D_ADN.xlsx
AB205,Exposición docente,08_01_03,08_01_03_AB205_JDA.xlsx,08_01_03_AB2D_JIN.xlsx
AB206,Exposición docente,08_01_03,08_01_03_AB206_ADN.xlsx,08_01_03_AB2D_JIN.xlsx
AB203,Dibujo/pintura,08_01_04,08_01_04_AB203_JIN.xlsx,08_01_04_AB2D_ADN.xlsx
AB202,Dibujo/pintura,08_01_05,08_01_05_AB202_ADN.xlsx,08_01_05_AB2D_JIN.xlsx
AB205,Dibujo/pintura,08_01_05,08_01_05_AB205_MAC.xlsx,08_01_05_AB2D_JIN.xlsx
AB206,Dibujo/pintura,08_01_05,08_01_05_AB206_JDA.xlsx,08_01_05_AB2D_JIN.xlsx
AB203,Dibujo/pintura,08_01_06,08_01_06_AB203_ADN.xlsx,08_01_06_AB2D_JIN.xlsx
AB207,Dibujo/pintura,08_01_06,08_01_06_AB207_JDA.xlsx,08_01_06_AB2D_JIN.xlsx
BB03,Dibujo/pintura,08_03_01,08_03_01_BB03_ZVT.xlsx,08_03_01_BBD3_JDA.xlsx
