ID,n_Avioncito_Adultx,n_Avioncito_Niñx,n_Paloma_Adultx,n_Paloma_Niñx,n_Piedra_papel_tijera_Adultx,n_Piedra_papel_tijera_Niñx,n_Total_Adultx,n_Total_Niñx,mean_Avioncito_Adultx,mean_Avioncito_Niñx,mean_Paloma_Adultx,mean_Paloma_Niñx,mean_Piedra_papel_tijera_Adultx,mean_Piedra_papel_tijera_Niñx,mean_Total_Adultx,mean_Total_Niñx,tot_Avioncito_Adultx,tot_Avioncito_Niñx,tot_Paloma_Adultx,tot_Paloma_Niñx,tot_Piedra_papel_tijera_Adultx,tot_Piedra_papel_tijera_Niñx,tot_Total_Adultx,tot_Total_Niñx,n_Avioncito_diff,n_Paloma_diff,n_Piedra_papel_tijera_diff,n_Total_diff,mean_Avioncito_diff,mean_Paloma_diff,mean_Piedra_papel_tijera_diff,mean_Total_diff,tot_Avioncito_diff,tot_Paloma_diff,tot_Piedra_papel_tijera_diff,tot_Total_diff
C3A02,113,82,100,70,21,9,234,161,1495.92920353982,1244.87804878049,1395.5,1035.28571428571,1287.14285714286,793.333333333333,1434.2735042735,1128.50931677019,169040,102080,139550,72470,27030,7140,335620,181690,31,30,12,73,251.051154759335,360.214285714286,493.809523809524,305.764187503318,66960,67080,19890,153930
C3A03,47,26,NA,NA,69,55,116,81,1964.25531914894,1181.53846153846,NA,NA,1223.04347826087,1352.54545454545,1523.36206896552,1297.65432098765,92320,30720,NA,NA,84390,74390,176710,105110,21,NA,14,35,782.716857610475,NA,-129.501976284585,225.707747977863,61600,NA,10000,71600
C3C02,75,8,106,25,11,1,192,34,2384.6,1115,2325.89622641509,1484,2379.09090909091,435,2351.875,1366.32352941176,178845,8920,246545,37100,26170,435,451560,46455,67,81,10,158,1269.6,841.896226415094,1944.09090909091,985.551470588235,169925,209445,25735,405105
C3C04,65,35,105,73,28,11,198,119,1254.21538461538,1034.62857142857,1681.87619047619,1381.82191780822,1367.57142857143,1472.27272727273,1497.03535353535,1288.06722689076,81524,36212,176597,100873,38292,16195,296413,153280,30,32,17,79,219.586813186813,300.054272667971,-104.701298701299,208.968126644597,45312,75724,22097,143133
C3D12,91,34,84,50,20,10,195,94,1163.57142857143,1179.44117647059,1473.89285714286,1545.56,1560.65,1135.3,1337.97435897436,1369.48936170213,105885,40101,123807,77278,31213,11353,260905,128732,57,34,10,101,-15.8697478991596,-71.6671428571428,425.35,-31.5150027277687,65784,46529,19860,132173
C3E03,65,22,79,32,10,7,154,61,1791,1229.31818181818,1503.16455696203,1437.96875,1829,1812.85714285714,1645.81168831169,1405.73770491803,116415,27045,118750,46015,18290,12690,253455,85750,43,47,3,93,561.681818181818,65.1958069620252,16.1428571428571,240.073983393656,89370,72735,5600,167705
C3E04,37,35,35,28,9,9,81,72,1659.86486486486,1119,1731.14285714286,1445.71428571429,1489.44444444444,1160,1671.72839506173,1251.18055555556,61415,39165,60590,40480,13405,10440,135410,90085,2,7,0,9,540.864864864865,285.428571428571,329.444444444444,420.547839506173,22250,20110,2965,45325
C3E06,89,13,NA,NA,17,1,106,14,1639.39325842697,1140.61538461538,NA,NA,1272.29411764706,1026,1580.51886792453,1132.42857142857,145906,14828,NA,NA,21629,1026,167535,15854,76,NA,16,92,498.777873811582,NA,246.294117647059,448.090296495957,131078,NA,20603,151681
C3E09,87,25,105,54,9,14,201,93,1437.87356321839,1013.4,1496.04761904762,1202.31481481481,1413.33333333333,1773.57142857143,1467.16417910448,1237.52688172043,125095,25335,157085,64925,12720,24830,294900,115090,62,51,-5,108,424.473563218391,293.732804232804,-360.238095238095,229.637297384048,99760,92160,-12110,179810
C3E10,59,12,85,16,34,19,178,47,1542.20338983051,693.75,1623.29411764706,1096.875,1468.23529411765,1555.78947368421,1566.79775280899,1179.46808510638,90990,8325,137980,17550,49920,29560,278890,55435,47,69,15,131,848.453389830509,526.419117647059,-87.5541795665636,387.329667702606,82665,120430,20360,223455
C3F01,65,15,77,19,24,16,166,50,2066.84615384615,757,2151.1038961039,1010.52631578947,1442.5,1477.1875,2015.66265060241,1083.8,134345,11355,165635,19200,34620,23635,334600,54190,50,58,8,116,1309.84615384615,1140.57758031442,-34.6875,931.86265060241,122990,146435,10985,280410
C3F08,77,19,27,12,29,19,133,50,1550.94805194805,1882.94736842105,1314.44444444444,1901.16666666667,1907.03448275862,2145.94736842105,1580.57894736842,1987.26,119423,35776,35490,22814,55304,40773,210217,99363,58,15,10,83,-331.999316473001,-586.722222222222,-238.912885662432,-406.681052631579,83647,12676,14531,110854
C3F09,34,11,52,22,9,1,95,34,1739.11764705882,1343.63636363636,1655.05769230769,1733.68181818182,1617.66666666667,1380,1681.6,1597.08823529412,59130,14780,86063,38141,14559,1380,159752,54301,23,30,8,61,395.48128342246,-78.6241258741259,237.666666666667,84.5117647058823,44350,47922,13179,105451
C3G04,45,10,70,36,6,NA,121,46,1493.66666666667,873.5,1799.35714285714,1733.75,1767.5,NA,1684.09090909091,1546.73913043478,67215,8735,125955,62415,10605,NA,203775,71150,35,34,NA,75,620.166666666667,65.6071428571429,NA,137.351778656126,58480,63540,NA,132625
C3G05,55,15,94,24,27,3,176,42,1490.27272727273,1872.33333333333,1525.63829787234,2071.875,1851.2962962963,986.666666666667,1564.54545454545,1923.09523809524,81965,28085,143410,49725,49985,2960,275360,80770,40,70,24,134,-382.060606060606,-546.23670212766,864.62962962963,-358.549783549784,53880,93685,47025,194590
C3G07,54,8,46,27,15,9,115,44,1723.22222222222,953.375,2404.15217391304,1895.40740740741,1384.53333333333,1679.33333333333,1951.41739130435,1679.93181818182,93054,7627,110591,51176,20768,15114,224413,73917,46,19,6,71,769.847222222222,508.744766505636,-294.8,271.48557312253,85427,59415,5654,150496
C3G10,108,64,97,82,17,5,222,151,1669.30555555556,1200.234375,1798.81443298969,1637.25609756098,1895.29411764706,931,1743.1981981982,1428.64238410596,180285,76815,174485,134255,32220,4655,386990,215725,44,15,12,71,469.071180555556,161.558335428715,964.294117647059,314.555814092238,103470,40230,27565,171265
C3H01,76,24,100,89,15,15,191,128,2545.35526315789,1395.875,2052.12,1487.61797752809,1846.73333333333,1622.06666666667,2232.25130890052,1486.171875,193447,33501,205212,132398,27701,24331,426360,190230,52,11,0,63,1149.48026315789,564.50202247191,224.666666666667,746.079433900524,159946,72814,3370,236130
C3H05,19,3,37,4,4,NA,60,7,2107.36842105263,558.333333333333,1516.89189189189,1023.75,897.5,NA,1662.58333333333,824.285714285714,40040,1675,56125,4095,3590,NA,99755,5770,16,33,NA,53,1549.0350877193,493.141891891892,NA,838.297619047619,38365,52030,NA,93985
C3H07,73,19,39,17,28,19,140,55,1567.56164383562,1348.10526315789,1624.20512820513,1825.47058823529,1988.92857142857,1383.94736842105,1667.61428571429,1508.03636363636,114432,25614,63344,31033,55690,26295,233466,82942,54,22,9,85,219.456380677722,-201.265460030166,604.981203007519,159.577922077922,88818,32311,29395,150524
C3H08,18,5,29,14,11,7,58,26,1616.11111111111,726,1506.55172413793,1277.14285714286,1050.90909090909,1600,1454.13793103448,1258.07692307692,29090,3630,43690,17880,11560,11200,84340,32710,13,15,4,32,890.111111111111,229.408866995074,-549.090909090909,196.06100795756,25460,25810,360,51630
C3H15,80,20,66,47,15,14,161,81,1724.9375,1234.25,2042.04545454545,1657.44680851064,1781,1405.71428571429,1860.15527950311,1509.44444444444,137995,24685,134775,77900,26715,19680,299485,122265,60,19,1,80,490.6875,384.598646034816,375.285714285714,350.710835058661,113310,56875,7035,177220
C3H16,44,8,72,21,15,2,131,31,2015.90909090909,1385.625,1828.95833333333,1804.7619047619,1903,2407.5,1900.22900763359,1735.48387096774,88700,11085,131685,37900,28545,4815,248930,53800,36,51,13,100,630.284090909091,24.1964285714284,-504.5,164.745136665846,77615,93785,23730,195130
C3I03,94,2,100,21,23,18,217,41,1385.65957446809,972,1102.76,1150.28571428571,1189.34782608696,1372.27777777778,1234.48387096774,1239.0487804878,130252,1944,110276,24156,27355,24701,267883,50801,92,79,5,176,413.659574468085,-47.5257142857142,-182.929951690821,-4.56490952006288,128308,86120,2654,217082
C3I04,70,25,89,35,22,9,181,69,1608.64285714286,1297.8,1589.49438202247,1583.85714285714,1575.90909090909,1528.33333333333,1595.24861878453,1472.97101449275,112605,32445,141465,55435,34670,13755,288740,101635,45,54,13,112,310.842857142857,5.63723916532899,47.5757575757577,122.277604291777,80160,86030,20915,187105
C3I05,85,38,109,53,18,12,212,103,2044.27058823529,1599.02631578947,2360.88073394495,1618.20754716981,1722.22222222222,1907.08333333333,2179.71226415094,1644.78640776699,173763,60763,257336,85765,31000,22885,462099,169413,47,56,6,109,445.24427244582,742.673186775143,-184.861111111111,534.925856383953,113000,171571,8115,292686
C3I06,69,14,4,2,11,9,84,25,1194.34782608696,1146.07142857143,868.75,830,1605,1954.44444444444,1232.61904761905,1411.8,82410,16045,3475,1660,17655,17590,103540,35295,55,2,2,59,48.2763975155278,38.75,-349.444444444444,-179.180952380952,66365,1815,65,68245
C3I12,62,24,39,40,50,18,151,82,1424.20967741935,1329.79166666667,1443.66666666667,1601.65,1655.02,1911.72222222222,1505.66225165563,1590.14634146341,88301,31915,56303,64066,82751,34411,227355,130392,38,-1,32,69,94.4180107526881,-157.983333333333,-256.702222222222,-84.4840898077855,56386,-7763,48340,96963
C3I14,51,22,58,37,24,7,133,66,1141.92156862745,922.727272727273,1167.75862068966,1210.48648648649,1179.875,1704.57142857143,1160.03759398496,1166.9696969697,58238,20300,67730,44788,28317,11932,154285,77020,29,21,17,67,219.194295900178,-42.7278657968313,-524.696428571429,-6.93210298473468,37938,22942,16385,77265
C3I20,61,16,65,35,8,6,134,57,1840.73770491803,1480.625,2065.83076923077,1505.97142857143,1863.75,1170.83333333333,1951.29850746269,1463.57894736842,112285,23690,134279,52709,14910,7025,261474,83424,45,30,2,77,360.112704918033,559.859340659341,692.916666666667,487.719560094265,88595,81570,7885,178050
C3A04,68,29,110,40,11,9,189,78,1920.04411764706,411.48275862069,1994.99090909091,857.725,1882.18181818182,676.888888888889,1961.46031746032,670.948717948718,130563,11933,219449,34309,20704,6092,370716,52334,39,70,2,111,1508.56135902637,1137.26590909091,1205.29292929293,1290.5115995116,118630,185140,14612,318382
C3A07,61,20,44,28,19,14,124,62,1531.50819672131,544.2,2332.20454545455,664.714285714286,1745.26315789474,566.714285714286,1848.37903225806,603.709677419355,93422,10884,102617,18612,33160,7934,229199,37430,41,16,5,62,987.308196721311,1667.49025974026,1178.54887218045,1244.66935483871,82538,84005,25226,191769
C3B04,69,20,84,37,7,13,160,70,1940.68115942029,833.65,1578.97619047619,772.621621621622,696.571428571429,1360.53846153846,1696.35625,899.242857142857,133907,16673,132634,28587,4876,17687,271417,62947,49,47,-6,90,1107.03115942029,806.354568854569,-663.967032967033,797.113392857143,117234,104047,-12811,208470
C3B09,43,36,90,71,11,11,144,118,1250.67441860465,1267.5,1166.24444444444,859.633802816901,1327.09090909091,2041.72727272727,1203.74305555556,1094.26271186441,53779,45630,104962,61034,14598,22459,173339,129123,7,19,0,26,-16.8255813953488,306.610641627543,-714.636363636364,109.480343691149,8149,43928,-7861,44216
C3B12,40,35,118,81,17,8,175,124,1442.9,1360.54285714286,1487.93220338983,1529.33333333333,1538.52941176471,866.875,1482.55428571429,1438.95161290323,57716,47619,175576,123876,26155,6935,259447,178430,5,37,9,51,82.3571428571429,-41.4011299435028,671.654411764706,43.6026728110598,10097,51700,19220,81017
C3B14,26,7,44,27,6,9,76,43,1542.65384615385,518.142857142857,2340.25,380.703703703704,3321.66666666667,767,2144.86842105263,483.93023255814,40109,3627,102971,10279,19930,6903,163010,20809,19,17,-3,33,1024.51098901099,1959.5462962963,2554.66666666667,1660.93818849449,36482,92692,13027,142201
C3D02,67,10,108,59,14,15,189,84,1859.74626865672,437,1568.57407407407,768.271186440678,927.071428571429,984.333333333333,1624.27513227513,767.416666666667,124603,4370,169406,45328,12979,14765,306988,64463,57,49,-1,105,1422.74626865672,800.302887633396,-57.2619047619048,856.858465608466,120233,124078,-1786,242525
C3D04,70,7,145,35,1,1,216,43,1228.05714285714,390.428571428571,1476.8,810.057142857143,2126,658,1399.19444444444,738.209302325581,85964,2733,214136,28352,2126,658,302226,31743,63,110,0,173,837.628571428571,666.742857142857,1468,660.985142118863,83231,185784,1468,270483
C3D05,54,30,NA,NA,18,7,72,37,2893.55555555556,724.566666666667,NA,NA,2446.11111111111,528,2781.69444444444,687.378378378378,156252,21737,NA,NA,44030,3696,200282,25433,24,NA,11,35,2168.98888888889,NA,1918.11111111111,2094.31606606607,134515,NA,40334,174849
C3D06,35,27,39,40,NA,NA,74,67,744.428571428571,1500.55555555556,1577.12820512821,985.475,NA,NA,1183.28378378378,1193.0447761194,26055,40515,61508,39419,NA,NA,87563,79934,8,-1,NA,7,-756.126984126984,591.653205128205,NA,-9.76099233561922,-14460,22089,NA,7629
C3D07,76,24,88,43,8,12,172,79,1347.36842105263,590.541666666667,1657.51136363636,571.860465116279,206.625,1733.91666666667,1452.98837209302,754.050632911392,102400,14173,145861,24590,1653,20807,249914,59570,52,45,-4,93,756.826754385965,1085.65089852008,-1527.29166666667,698.937739181631,88227,121271,-19154,190344
C3D08,61,30,95,48,18,3,174,81,2025.19672131148,941.133333333333,1358.93684210526,908.5,1328.38888888889,573.666666666667,1589.35057471264,908.185185185185,123537,28234,129099,43608,23911,1721,276547,73563,31,47,15,93,1084.06338797814,450.436842105263,754.722222222222,681.165389527459,95303,85491,22190,202984
C3D11,44,18,59,14,15,4,118,36,2283.59090909091,599.055555555556,2446.93220338983,908.857142857143,1419.6,375.75,2255.43220338983,694.722222222222,100478,10783,144369,12724,21294,1503,266141,25010,26,45,11,82,1684.53535353535,1538.07506053269,1043.85,1560.70998116761,89695,131645,19791,241131
C3D13,71,20,106,41,14,7,191,68,2149.92957746479,534.1,1627.5,582,2020.07142857143,1238.85714285714,1850.47643979058,635.529411764706,152645,10682,172515,23862,28281,8672,353441,43216,51,65,7,123,1615.82957746479,1045.5,781.214285714286,1214.94702802587,141963,148653,19609,310225
C3E01,39,24,89,51,24,17,152,92,2245.23076923077,826.916666666667,1639.08988764045,835.176470588235,1413.16666666667,948.058823529412,1758.94078947368,853.880434782609,87564,19846,145879,42594,33916,16117,267359,78557,15,38,7,60,1418.3141025641,803.913417052214,465.107843137255,905.060354691075,67718,103285,17799,188802
C3E05,45,36,134,103,19,17,198,156,1927.11111111111,953.833333333333,1598.59701492537,1516.92233009709,1807.31578947368,1536.70588235294,1693.28787878788,1389.13461538462,86720,34338,214212,156243,34339,26124,335271,216705,9,31,2,42,973.277777777778,81.6746848282858,270.609907120743,304.153263403263,52382,57969,8215,118566
C3E08,90,54,133,84,26,10,249,148,2534.6,790.981481481482,2410.46616541353,877.047619047619,1836.65384615385,918,2395.41767068273,848.412162162162,228114,42713,320592,73672,47753,9180,596459,125565,36,49,16,101,1743.61851851852,1533.41854636591,918.653846153846,1547.00550852057,185401,246920,38573,470894
C3F02,100,53,241,99,15,16,356,168,1679.94,526.962264150943,1743.5020746888,810.848484848485,1764,438.8125,1726.51123595506,685.857142857143,167994,27929,420184,80274,26460,7021,614638,115224,47,142,-1,188,1152.97773584906,932.653589840312,1325.1875,1040.65409309791,140065,339910,19439,499414
C3F07,86,43,163,93,14,14,263,150,2609.90697674419,598.860465116279,1949.41104294479,676.537634408602,2691.71428571429,1535.57142857143,2204.90494296578,734.446666666667,224452,25751,317754,62918,37684,21498,579890,110167,43,70,0,113,2011.04651162791,1272.87340853618,1156.14285714286,1470.45827629911,198701,254836,16186,469723
C3F12,57,24,81,57,36,21,174,102,3326.17543859649,411.958333333333,2313.08641975309,877,1471.86111111111,957.190476190476,2470.91379310345,784.088235294118,189592,9887,187360,49989,52987,20101,429939,79977,33,24,15,72,2914.21710526316,1436.08641975309,514.670634920635,1686.82555780933,179705,137371,32886,349962
C3F14,88,39,160,61,16,15,264,115,2059.70454545455,522.153846153846,1817.74375,837.639344262295,1159.125,959.6,1858.48106060606,746.55652173913,181254,20364,290839,51096,18546,14394,490639,85854,49,99,1,149,1537.5506993007,980.104405737705,199.525,1111.92453886693,160890,239743,4152,404785
C3F19,64,22,85,28,3,3,152,53,1638.75,612.136363636364,1177.85882352941,515.964285714286,6328.33333333333,759.333333333333,1473.57236842105,569.660377358491,104880,13467,100118,14447,18985,2278,223983,30192,42,57,0,99,1026.61363636364,661.894537815126,5569,903.911991062562,91413,85671,16707,193791
C3F20,63,16,5,7,16,23,84,46,1855.42857142857,508.375,1721,585.857142857143,2677.875,807.04347826087,2004.08333333333,669.5,116892,8134,8605,4101,42846,18562,168343,30797,47,-2,-7,38,1347.05357142857,1135.14285714286,1870.83152173913,1334.58333333333,108758,4504,24284,137546
C3F21,89,46,151,82,13,12,253,140,1993.34831460674,481.217391304348,1573.88079470199,738.146341463415,1122.84615384615,434.583333333333,1698.26482213439,627.707142857143,177408,22136,237656,60528,14597,5215,429661,87879,43,69,1,113,1512.13092330239,835.734453238572,688.262820512821,1070.55767927724,155272,177128,9382,341782
C3G01,28,12,68,33,25,15,121,60,1559.14285714286,942.083333333333,1869.67647058824,347.272727272727,2099.32,942.733333333333,1845.26446280992,615.1,43656,11305,127138,11460,52483,14141,223277,36906,16,35,10,61,617.059523809524,1522.40374331551,1156.58666666667,1230.16446280992,32351,115678,38342,186371
C3G02,74,34,79,34,15,20,168,88,2336.93243243243,664.176470588235,1946.36708860759,595.117647058824,2567.06666666667,655.55,2173.82142857143,635.534090909091,172933,22582,153763,20234,38506,13111,365202,55927,40,45,-5,80,1672.7559618442,1351.24944154877,1911.51666666667,1538.28733766234,150351,133529,25395,309275
C3G08,53,22,47,62,NA,NA,100,84,1749.62264150943,626.681818181818,1498.65957446809,890.032258064516,NA,NA,1631.67,821.059523809524,92730,13787,70437,55182,NA,NA,163167,68969,31,-15,NA,16,1122.94082332762,608.627316403569,NA,810.610476190476,78943,15255,NA,94198
C3G11,13,NA,30,3,NA,3,43,6,1694.07692307692,NA,1703.83333333333,776,NA,579.333333333333,1700.88372093023,677.666666666667,22023,NA,51115,2328,NA,1738,73138,4066,NA,27,NA,37,NA,927.833333333333,NA,1023.21705426357,NA,48787,NA,69072
C3H03,50,18,60,31,13,14,123,63,1278.2,581.111111111111,2013.76666666667,564.967741935484,2011.92307692308,430.357142857143,1714.56097560976,539.666666666667,63910,10460,120826,17514,26155,6025,210891,33999,32,29,-1,60,697.088888888889,1448.79892473118,1581.56593406593,1174.89430894309,53450,103312,20130,176892
C3H06,21,13,49,6,4,3,74,22,1017.14285714286,383.153846153846,1283.48979591837,627.166666666667,4261.25,984.666666666667,1368.86486486486,531.727272727273,21360,4981,62891,3763,17045,2954,101296,11698,8,43,1,52,633.989010989011,656.323129251701,3276.58333333333,837.137592137592,16379,59128,14091,89598
C3H13,195,77,173,127,18,16,386,220,1661.12307692308,605.571428571429,1983.87861271676,913.59842519685,1165.33333333333,1252.0625,1782.65803108808,830.404545454545,323919,46629,343211,116027,20976,20033,688106,182689,118,46,2,166,1055.55164835165,1070.28018751991,-86.7291666666667,952.253485633537,277290,227184,943,505417
C3H14,49,18,75,57,18,13,142,88,2038.79591836735,806.111111111111,1771.62666666667,642.228070175439,1273.11111111111,1111.30769230769,1800.62676056338,745.045454545455,99901,14510,132872,36607,22916,14447,255689,65564,31,18,5,54,1232.68480725624,1129.39859649123,161.803418803419,1055.58130601793,85391,96265,8469,190125
C3I02,99,12,116,30,9,6,224,48,1136.92929292929,223.583333333333,1528.66379310345,418.466666666667,1277.11111111111,1009.66666666667,1345.42410714286,443.645833333333,112556,2683,177325,12554,11494,6058,301375,21295,87,86,3,176,913.345959595959,1110.19712643678,267.444444444444,901.778273809524,109873,164771,5436,280080
C3I07,51,23,71,50,3,8,125,81,1533.21568627451,554.521739130435,1582.85915492958,611.66,264.333333333333,1565.125,1530.96,689.604938271605,78194,12754,112383,30583,793,12521,191370,55858,28,21,-5,44,978.693947144075,971.199154929578,-1300.79166666667,841.355061728395,65440,81800,-11728,135512
C3I09,63,25,NA,NA,26,21,89,46,1617.01587301587,751.32,NA,NA,1853.03846153846,958.619047619048,1685.96629213483,845.95652173913,101872,18783,NA,NA,48179,20131,150051,38914,38,NA,5,43,865.695873015873,NA,894.419413919414,840.009770395701,83089,NA,28048,111137
C3I10,56,16,76,34,12,4,144,54,1406.625,802.5,2004.17105263158,532.088235294118,988.666666666667,1881.5,1687.16666666667,712.166666666667,78771,12840,152317,18091,11864,7526,242952,38457,40,42,8,90,604.125,1472.08281733746,-892.833333333333,975,65931,134226,4338,204495
C3I11,57,39,43,31,9,8,109,78,3966.52631578947,889.25641025641,2477.53488372093,806.741935483871,1897.33333333333,1607.125,3208.2752293578,930.089743589744,226092,34681,106534,25009,17076,12857,349702,72547,18,12,1,31,3077.26990553306,1670.79294823706,290.208333333333,2278.18548576805,191411,81525,4219,277155
C3I16,49,17,103,30,11,15,163,62,1883.08163265306,773.117647058824,1601.52427184466,646.833333333333,1515.54545454545,346.466666666667,1680.36196319018,608.790322580645,92271,13143,164957,19405,16671,5197,273899,37745,32,73,-4,101,1109.96398559424,954.690938511327,1169.07878787879,1071.57164060954,79128,145552,11474,236154
C3I18,31,13,52,34,16,19,99,66,1273.90322580645,835.846153846154,773.942307692308,1132.55882352941,815.125,1213.31578947368,937.151515151515,1097.36363636364,39491,10866,40245,38507,13042,23053,92778,72426,18,18,-3,33,438.057071960298,-358.616515837104,-398.190789473684,-160.212121212121,28625,1738,-10011,20352
